fam	loc
fam5	1531770
fam7	1533104
fam9	1534732
fam10	1535321
fam11	1536657
fam12	1537548
fam13	1538330
fam16	1543043
fam17	1544403
fam18	1544960
fam19	1545361
fam20	1545978
fam21	1547144
fam22	1547413
fam23	1549380
fam24	1550057
fam25	1550926
fam26	1551769
fam27	1552532
fam28	1553595
fam29	1555588
fam31	1559012
fam32	1559986
fam33	1560890
fam34	1561470
fam35	1561647
fam38	1564294
fam40	1566585
fam42	1568636
fam43	1569966
fam44	1570825
fam45	1571824
fam50	1577562
fam51	1578605
fam52	1579872
fam54	1581889
fam55	1582844
fam56	1583719
fam57	1585692
fam58	1587447
fam59	1587708
fam64	1608795
fam65	1609813
fam66	1610455
fam67	1611869
fam68	1613067
fam70	1615710
fam71	1616822
fam75	1621674
fam76	1622869
fam78	1625501
fam79	1627823
fam81	1632268
fam82	1632627
fam84	1634694
fam86	1637009
fam88	1638384
fam89	1639083
fam90	1639598
fam91	1641727
fam92	1642532
fam93	1643357
fam95	1644954
fam96	1645254
fam98	1647665
fam99	1648359
fam100	1649067
fam101	1649892
fam102	1651588
fam103	1653605
fam106	1655795
fam107	1656532
fam108	1658335
fam109	1658853
fam110	1659530
fam111	1660477
fam112	1661542
fam115	1666672
fam116	1666904
fam119	1670927
fam120	1671285
fam125	1675509
fam126	1676642
fam127	1677381
fam129	1680351
fam130	1682395
fam131	1683304
fam132	1683950
fam133	1684419
fam134	1686263
fam135	1686905
fam136	1687166
fam137	1690033
fam138	1690653
fam139	1691714
fam140	1692114
fam141	1693628
fam142	1694662
fam144	1696576
fam145	1697784
fam146	1698677
fam147	1699537
fam150	1702656
fam151	1703328
fam152	1704322
fam170	1729455
fam171	1730334
fam173	1731258
fam174	1733632
fam175	1734121
fam176	1735191
fam177	1735364
fam178	1736000
fam179	1737441
fam180	1738062
fam183	1745257
fam184	1745523
fam185	1746306
fam186	1747361
fam187	1748175
fam190	1752076
fam191	1753527
fam192	1754745
fam193	1754942
fam194	1755343
fam201	1762043
fam202	1762883
fam203	1763366
fam204	1764798
fam205	1765403
fam212	1784340
fam213	1785710
fam225	1796751
fam226	1796976
fam227	1797290
fam228	1797573
fam229	1798298
fam230	1798879
fam233	1801012
fam234	1804718
fam235	1805182
fam236	1807230
fam237	1808533
fam238	1808929
fam239	1809368
fam241	1811660
fam243	1813200
fam244	1814813
fam245	1815321
fam246	1817269
fam247	1818980
fam248	1820887
fam250	1824200
fam251	1679744
fam253	1676958
fam259	1673042
fam283	1656023
fam285	1654726
fam286	1653830
fam287	1651180
fam288	1650491
fam289	1650086
fam291	1648170
fam292	1647714
fam293	1645903
fam294	1645293
fam295	1644977
fam297	1641231
fam298	1641011
fam300	1637864
fam301	1636678
fam302	1631751
fam303	1631344
fam304	1628641
fam305	1627751
fam306	1625617
fam307	1624970
fam308	1624398
fam309	1622513
fam310	1621208
fam311	1617067
fam312	1616060
fam313	1614585
fam314	1614137
fam315	1613133
fam316	1611870
fam317	1611366
fam319	1608865
fam321	1606488
fam322	1605716
fam324	1604391
fam325	1604115
fam326	1602618
fam327	1601327
fam328	1585451
fam329	1583732
fam330	1583119
fam331	1582659
fam332	1581898
fam333	1581237
fam335	1578795
fam336	1578304
fam338	1572466
fam339	1571258
fam340	1570240
fam341	1569523
fam342	1568445
fam343	1566269
fam344	1565695
fam345	1565396
fam346	1563596
fam347	1563040
fam348	1562514
fam349	1561039
fam351	1559161
fam355	1551211
fam356	1550213
fam357	1549503
fam358	1548080
fam360	1545517
fam362	1541382
fam363	1536970
fam364	1536254
fam365	1534710
fam367	1532196
fam368	1531034
fam369	1529910
fam370	1528216
fam371	1527746
fam372	1527324
fam373	1526301
fam375	1524705
fam376	1524497
fam377	1523437
fam378	1522924
fam379	1522581
fam380	1520142
fam382	1517298
fam383	1516341
fam384	1514977
fam385	1514345
fam386	1513238
fam387	1512477
fam389	1511425
fam390	1510443
fam391	1509297
fam392	1507281
fam393	1506657
fam394	1506122
fam395	1505347
fam396	1504319
fam397	1503701
fam398	1502490
fam399	1500925
fam400	1499361
fam401	1498850
fam402	1498173
fam403	1497032
fam404	1495775
fam406	1492488
fam407	1491963
fam408	1490852
fam409	1490112
fam411	1487866
fam412	1486875
fam413	1485082
fam414	1483522
fam415	1482659
fam418	1478161
fam419	1477307
fam420	1476444
fam421	1475296
fam422	1474946
fam423	1474215
fam426	1470987
fam427	1469399
fam428	1468677
fam431	1466132
fam432	1465653
fam436	1464277
fam437	1463784
fam438	1463251
fam439	1462736
fam440	1462488
fam441	1461716
fam442	1461169
fam443	1460695
fam444	1460200
fam445	1459524
fam446	1459098
fam448	1458016
fam449	1457524
fam450	1457027
fam452	1456139
fam453	1455740
fam454	1455046
fam455	1453962
fam456	1453323
fam457	1452956
fam458	1452591
fam461	1450880
fam462	1450365
fam463	1449725
fam464	1449325
fam467	1446736
fam468	1445835
fam469	1444532
fam473	1441885
fam479	1437874
fam510	1415182
fam519	1407299
fam520	1406108
fam523	1403536
fam524	1402452
fam525	1400549
fam526	1399909
fam527	1399182
fam528	1397834
fam529	1396471
fam530	1395921
fam531	1394691
fam532	1393886
fam534	1392277
fam535	1391654
fam536	1389916
fam540	1384927
fam541	1384122
fam542	1382086
fam543	1381573
fam544	1380962
fam545	1380381
fam546	1378836
fam547	1377684
fam549	1375996
fam553	1370564
fam554	1369872
fam555	1368328
fam556	1366872
fam557	1364921
fam558	1363734
fam560	1360658
fam561	1359075
fam562	1358524
fam563	1357036
fam564	1356595
fam565	1354843
fam566	1353443
fam568	1352210
fam570	1347807
fam572	1346687
fam574	1342718
fam575	1341690
fam576	1340598
fam578	1338377
fam579	1337737
fam580	1336374
fam583	1331404
fam584	1330467
fam585	1329647
fam586	1328653
fam587	1326099
fam588	1325461
fam590	1323771
fam591	1323563
fam592	1321817
fam594	1320197
fam595	1318746
fam596	1317465
fam597	1316659
fam598	1315061
fam599	1314501
fam600	1309405
fam602	1307535
fam604	1305094
fam607	1302313
fam608	1301371
fam609	1299452
fam610	1296589
fam611	1295089
fam612	1293747
fam613	1292523
fam614	1292158
fam615	1291843
fam616	1290645
fam618	1288610
fam624	1282082
fam625	1280166
fam626	1279295
fam627	1278034
fam628	1277540
fam629	1276872
fam635	1270440
fam636	1270144
fam637	1269154
fam638	1268421
fam640	1267202
fam641	1266660
fam642	1264315
fam643	1263127
fam644	1262895
fam645	1262144
fam647	1257010
fam648	1254546
fam649	1252364
fam653	1247208
fam654	1246482
fam655	1245807
fam658	1242977
fam660	1240056
fam661	1238228
fam662	1236356
fam663	1235631
fam664	1234887
fam665	1233992
fam667	1230929
fam668	1228353
fam670	1225304
fam671	1224337
fam672	1223602
fam673	1222976
fam675	1219870
fam676	1218462
fam679	1215951
fam681	1213211
fam683	1210403
fam686	1207163
fam687	1206428
fam690	1201523
fam691	1201079
fam692	1199718
fam693	1198764
fam695	1197200
fam696	1196737
fam697	1195346
fam698	1194889
fam699	1192670
fam701	1190446
fam702	1189930
fam703	1188162
fam704	1187546
fam705	1184556
fam706	1183869
fam707	1182588
fam708	1181951
fam709	1180405
fam710	1178140
fam711	1177037
fam712	1176096
fam713	1174945
fam714	1173974
fam715	1173027
fam716	1172091
fam717	1170323
fam724	1156078
fam725	1154016
fam726	1152397
fam727	1151444
fam728	1150055
fam730	1147504
fam735	1141852
fam736	1140783
fam739	1134053
fam744	1125928
fam747	1118528
fam748	1116613
fam749	1115488
fam750	1113924
fam751	1113449
fam752	1112401
fam753	1111317
fam754	1109452
fam755	1108173
fam756	1106459
fam758	1104628
fam759	1103686
fam768	1094199
fam769	1093846
fam770	1093396
fam772	1091372
fam774	1089725
fam776	1088134
fam777	1087146
fam778	1086363
fam779	1084464
fam782	1080652
fam783	1079653
fam784	1078838
fam785	1077130
fam786	1075789
fam788	1073718
fam791	1068078
fam792	1067186
fam793	1066616
fam794	1065063
fam795	1063940
fam796	1063108
fam797	1062304
fam798	1060901
fam800	1056594
fam801	1055252
fam803	1052297
fam806	1048901
fam807	1047237
fam808	1046025
fam809	1045072
fam811	1043427
fam813	1041305
fam814	1040980
fam815	1040010
fam816	1039063
fam817	1038035
fam818	1037004
fam819	1036824
fam820	1036268
fam821	1035538
fam822	1034518
fam823	1031021
fam824	1029162
fam825	1027993
fam826	1026205
fam827	1025237
fam828	1024683
fam832	1021379
fam833	1020350
fam835	1016218
fam836	1015067
fam837	1014085
fam838	1012720
fam840	1010678
fam841	1009981
fam842	1009180
fam847	1003821
fam848	1002451
fam850	1000361
fam851	999518
fam852	998257
fam853	997407
fam854	996149
fam855	995842
fam856	995422
fam857	993541
fam859	992317
fam860	990318
fam861	989872
fam863	985915
fam864	985215
fam866	981488
fam867	980145
fam868	979867
fam869	978363
fam870	977688
fam871	976581
fam872	974972
fam873	974109
fam874	973189
fam875	971836
fam876	970249
fam877	969523
fam879	966787
fam880	965445
fam881	964798
fam882	964452
fam883	962296
fam884	961738
fam885	961210
fam887	958644
fam888	958052
fam889	955824
fam890	954517
fam891	953314
fam892	952593
fam893	950990
fam894	949339
fam895	948517
fam896	947233
fam897	946754
fam898	946203
fam899	944245
fam900	943763
fam901	943560
fam904	941396
fam905	940710
fam906	940216
fam907	939168
fam908	938399
fam909	937259
fam911	934211
fam912	933802
fam913	933022
fam914	932142
fam916	928523
fam917	927905
fam919	924299
fam920	922321
fam921	921793
fam922	921532
fam923	919259
fam924	919032
fam927	915120
fam928	913946
fam929	913078
fam930	912300
fam931	910670
fam932	910145
fam933	909528
fam935	907291
fam936	906320
fam937	900751
fam938	899536
fam940	896963
fam942	894239
fam943	893839
fam947	889642
fam948	887199
fam949	886075
fam951	884363
fam952	883204
fam953	882412
fam954	882131
fam955	881243
fam956	880837
fam957	880423
fam958	879343
fam961	876179
fam964	872971
fam965	871230
fam966	870902
fam967	869403
fam968	868342
fam969	866753
fam970	866085
fam971	865750
fam973	863293
fam974	862088
fam975	860735
fam976	859355
fam977	858307
fam978	857766
fam979	857244
fam980	856711
fam981	854826
fam982	853852
fam983	853163
fam984	852571
fam985	850666
fam986	850058
fam987	849618
fam988	849281
fam990	848437
fam991	847286
fam992	846600
fam993	846430
fam994	845625
fam995	845077
fam996	844142
fam998	840179
fam1001	836814
fam1003	835296
fam1005	833782
fam1006	831916
fam1009	829540
fam1010	828633
fam1012	825968
fam1013	825654
fam1014	824541
fam1015	824238
fam1017	822680
fam1018	821723
fam1019	820557
fam1020	819142
fam1021	816289
fam1022	815484
fam1023	813703
fam1024	813358
fam1025	812972
fam1026	811286
fam1028	809478
fam1029	807739
fam1030	807106
fam1031	806200
fam1032	805884
fam1033	805303
fam1034	804757
fam1035	804103
fam1038	800399
fam1039	798563
fam1040	796947
fam1041	795730
fam1042	794063
fam1043	792170
fam1044	790424
fam1047	785758
fam1048	785020
fam1049	783857
fam1050	783160
fam1051	781941
fam1052	781296
fam1053	780529
fam1054	780196
fam1055	780005
fam1056	779596
fam1058	773691
fam1059	770939
fam1060	770219
fam1061	768949
fam1062	768312
fam1063	767827
fam1066	764014
fam1067	762385
fam1068	761492
fam1071	758043
fam1072	757556
fam1074	756519
fam1102	723023
fam1107	716726
fam1111	711949
fam1114	708578
fam1116	706231
fam1118	703699
fam1120	699927
fam1121	698337
