fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam966	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	717455	0.0
fam393	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1380235	0.0
fam1571	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	188000	0.0
fam158	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1165898	0.0
fam1037	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	654352	0.0
fam1720	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	67911	0.0
fam680	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1003462	0.0
fam875	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	805942	0.0
fam1483	0.7921455938697317	0.7921455938697317	0.0	0.027065454545454545	0.0	0.03880430725005955	0.034167272727272734	0.0	0.04898633224795911	259507	0.03595041322314049
fam425	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1411091	0.0
fam1195	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	505611	0.0
fam1928	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	122460	0.0
fam98	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1110553	0.0
fam657	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1028076	0.0
fam1040	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	651116	0.0
fam443	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.00454972526643093	1425407	0.0007014590347923681
fam355	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1347155	0.019229118379260023
fam2761	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	989639	0.0
fam2090	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	286434	0.0
fam2139	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	331924	0.0
fam2305	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	536851	0.0
fam519	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1492909	0.0
fam1093	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	598698	0.0
fam2025	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	216954	0.0
fam321	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1309101	0.0
fam594	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1096108	0.0
fam346	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1334430	0.0
fam62	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1077769	0.0
fam1679	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	99210	0.0
fam922	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	760048	0.0
