fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam966	0.13996112168486238	0.1414717626925271	0.08456510845963555	0.013373333333333333	0.0155	0.008913246072871294	0.09281333333333333	0.1154	0.0662724967254307	1053611	0.02168888888888889
fam393	0.10216771325636408	0.0925751194320837	0.03704245663666192	0.010566666666666669	0.0099	0.003908736652963745	0.11023999999999999	0.1217	0.040361678194379705	423656	0.024691358024691357
fam1571	0.0859055706162103	0.0728476821192053	0.04131592894307477	0.005993333333333334	0.0074	0.0029773515449510197	0.07542	0.0791	0.02931671195751666	451827	0.014533164343050275
fam1037	0.01736929033049654	0.01854696347921777	0.005882909539611404	0.0029599999999999995	0.0028	0.0014862929276110637	0.17987999999999998	0.2061	0.07145377246863877	1134745	0.02228710462287104
fam1720	0.0431784107946027	0.07196401799100449	0.03525502478368592	0.0028799999999999997	0.0048	0.002351510153071851	0.022273333333333332	0.0	0.03149936436748455	279011	0.005277777777777778
fam1031	0.1061962486901189	0.10298255486775465	0.03455881426134498	0.012020000000000001	0.0112	0.004216823448995701	0.12399999999999999	0.1291	0.05368426212587819	1125228	0.026645602948920488
fam680	0.15162189054726366	0.0	0.18569909519592503	0.004413333333333334	0.0076	0.0041380940325495535	0.0057333333333333325	0.0	0.008218731991953233	746277	0.0045705279747832945
fam875	0.007442723274876884	0.005625270445694505	0.007410666877087365	0.001313333333333333	0.0013	0.000837350318299071	0.22069999999999998	0.2516	0.08126302972446942	956720	0.02338392355255762
fam1781	0.03169028639855883	0.043243995849736025	0.018537280976220916	0.0024733333333333335	0.0035	0.0017121007239321196	0.08357333333333332	0.0945	0.03499709448257416	215630	0.012408759124087593
fam425	0.03364815392644976	0.030535334664691105	0.015115595230690324	0.00294	0.0033	0.0014022838514366482	0.08999333333333333	0.0817	0.03208730728635373	462195	0.012496960855822999
fam1928	0.061764340536130384	0.05115501538750571	0.039551076843096285	0.009526666666666668	0.0091	0.006133673903587927	0.17326000000000003	0.2014	0.11122347953557289	3599	0.029741019214703422
fam98	0.1114503959762152	0.08112965340179717	0.06670406503665033	0.007713333333333333	0.0096	0.003963477709733657	0.0769	0.0696	0.036035926517851605	120084	0.02647569444444444
fam657	0.015409575661069822	0.015078476382434728	0.010917309176085724	0.0011200000000000001	0.0011	0.0008619358058076792	0.0851	0.0864	0.03529830968568703	727033	0.010364012080750279
fam265	0.07709804615083153	0.08905846853544408	0.029403538520988762	0.012286666666666666	0.0146	0.006468577037408528	0.15610666666666667	0.1406	0.059431657856361	284504	0.03688271604938271
fam1040	0.012344063601001922	0.011284259034683483	0.004277499128829176	0.001986666666666667	0.0021	0.0009329999404549226	0.16957999999999998	0.1797	0.0733101375436349	1137391	0.01887960383782111
fam1786	0.04259737355827712	0.03671044477284645	0.01893073334419072	0.004873333333333333	0.0051	0.002422523936356919	0.12270666666666667	0.1559	0.05709062347609184	208745	0.02095238095238095
fam443	0.04639474899854575	0.04406718439588225	0.013338406828647497	0.018166666666666668	0.0216	0.00722547960730328	0.4010266666666667	0.4379	0.1586817085307006	484049	0.04798711755233494
fam355	0.06207878723527998	0.05889735372413246	0.01691455557251249	0.006673333333333335	0.0073	0.002333942777552374	0.10996	0.1176	0.03442306978369787	380923	0.021220552773140423
fam1784	0.049728919373537864	0.04291497975708502	0.02060762127236244	0.006113333333333334	0.0053	0.0032706506318400256	0.12264666666666667	0.1269	0.04715533008638107	212648	0.01863799283154122
fam519	0.09287266967922049	0.10661401776900296	0.03726865691304677	0.01608	0.0216	0.011235076027038417	0.15377333333333337	0.1943	0.07257099941130449	574447	0.04028816846771959
fam1093	0.06989562060489904	0.07119412900005109	0.03118083254270675	0.007200000000000001	0.0081	0.0038994016635034317	0.10198666666666664	0.1077	0.04014936888946353	1007381	0.021952316689158795
fam321	0.02304031704018143	0.02238970245962188	0.008651412763697882	0.00304	0.0032	0.0015512575543732252	0.12927333333333335	0.1312	0.043552075597942386	349584	0.01557454890788224
fam346	0.0	0.0	0.0	0.0	0.0	0.0	0.03202666666666667	0.0296	0.015245347559902407	371021	0.004339250493096648
fam643	0.201562511326506	0.16687422166874222	0.12490820224486339	0.009413333333333333	0.0105	0.0040950159408182476	0.05814	0.0748	0.0355092626413635	709929	0.014977973568281936
fam62	0.031119299172828168	0.031753828627937186	0.007162607050116588	0.003806666666666667	0.0041	0.001608505172167279	0.12467333333333333	0.1343	0.046628124083599544	85416	0.020332796564680622
fam1679	0.16666130004885887	0.1554160125588697	0.029882374108049427	0.023146666666666666	0.0203	0.013186653185028497	0.13584666666666667	0.157	0.0655745262193246	321876	0.039482200647249194
fam922	0.07428551031939579	0.07811826023797888	0.035266565188919	0.005393333333333334	0.006	0.003072342573491584	0.07672666666666665	0.081	0.03172568815469397	1010182	0.01779935275080906
fam494	0.03361385862165335	0.030681818181818185	0.011192280315794249	0.004093333333333333	0.0046	0.001816394475021571	0.12339333333333331	0.1617	0.059068564303603056	551947	0.014778325123152712
fam1358	0.0	0.0	0.0	0.0	0.0	0.0	0.05608	0.0621	0.0193428091720584	704552	0.008429118773946361
fam910	0.18428281143328018	0.1810361940051611	0.08282554800830505	0.013273333333333333	0.0138	0.007303466452460929	0.06962666666666667	0.0721	0.03123776489372368	997168	0.025138888888888888
fam150	0.16674758104056314	0.06406337884133557	0.23567462461567135	0.008786666666666667	0.0076	0.005432355740274094	0.10644666666666668	0.1402	0.06944063043748636	167118	0.020496224379719527
fam508	0.13836660635565876	0.16893732970027245	0.0766341116777466	0.006333333333333334	0.0083	0.004484293577464447	0.04241333333333333	0.0465	0.021463142567874093	563234	0.011574074074074073
fam155	0.08748820116702151	0.09182508721721415	0.017165419951262282	0.02812	0.0312	0.01265986835107959	0.3130333333333334	0.3596	0.112991502138681	174039	0.058591826686361405
fam179	0.09597685073642055	0.0896168108776267	0.023939625977182043	0.011880000000000002	0.0135	0.0046534861483981385	0.12501333333333334	0.1445	0.04343141515334519	202255	0.04215086646279307
fam885	0.0	0.0	0.0	0.0	0.0	0.0	0.061853333333333343	0.0641	0.025652572753797794	967178	0.006318082788671025
fam1934	0.05820686307595713	0.06188281764318631	0.013872622184834975	0.0068400000000000015	0.0082	0.0030938218005136194	0.11997333333333332	0.1492	0.04924476915255963	240	0.02508417508417508
fam119	0.051452744155623724	0.047872340425531915	0.032652114986709946	0.0026066666666666664	0.0019	0.001634815653895638	0.05674666666666666	0.0587	0.026589794199195216	140949	0.009675704412546516
fam43	0.030335867674219804	0.03459821428571429	0.0096563489538401	0.010813333333333335	0.0143	0.007349182872189866	0.33042	0.3481	0.18170423660443363	61606	0.041138313454697636
fam1364	0.05427372708342299	0.05489614243323442	0.023562474755334704	0.004593333333333333	0.0037	0.002798444012105457	0.08653333333333331	0.0915	0.03168441607829032	698218	0.015797788309636653
fam1587	0.052997957983421475	0.046403712296983764	0.014581206554253462	0.006006666666666668	0.006	0.0025784922381543486	0.11255333333333332	0.124	0.03609668251915803	423142	0.019175257731958762
fam174	0.04027999396045449	0.03814594437152227	0.010012298102948385	0.00504	0.0056	0.0026973567308261866	0.12232000000000001	0.1543	0.05643203818163343	197131	0.021497584541062802
fam1446	0.0889687226152139	0.08661166227981373	0.028943175626696276	0.00712	0.0078	0.003107238860038496	0.08204666666666667	0.0898	0.030927870207234694	605400	0.016281310211946048
fam1143	0.02998104622581579	0.027339353487763382	0.008303987651011611	0.004026666666666666	0.0048	0.0020177435141486367	0.13661333333333334	0.1186	0.06499000812090698	948621	0.01920852359208524
fam839	0.11569616201426566	0.09570116957715288	0.05880506207575898	0.006826666666666667	0.0063	0.003914326960737383	0.06366	0.0647	0.027956580620669618	915865	0.014260249554367199
fam1534	0.1555348205103595	0.14990694779933758	0.053348140551513955	0.008953333333333334	0.0094	0.00331740192855125	0.06397333333333334	0.0746	0.02817974370989835	499319	0.019159942064969997
fam1447	0.0	0.0	0.0	0.0	0.0	0.0	0.0067	0.0	0.009475230867899736	604914	0.0010683760683760683
fam1804	0.0512389568584883	0.04383333867205586	0.015785236150367827	0.0044199999999999995	0.0047	0.0016789679369580985	0.08893333333333334	0.0919	0.03086647948107389	185472	0.017438271604938268
