fam	loc
fam1	1368
fam2	2788
fam3	3380
fam4	4492
fam5	6436
fam6	9157
fam7	10133
fam8	11938
fam9	12927
fam10	13253
fam11	14475
fam12	15578
fam13	17567
fam14	18010
fam15	19477
fam16	21046
fam17	22707
fam18	24543
fam19	25867
fam20	26659
fam21	27903
fam22	28756
fam23	29066
fam25	31545
fam26	32935
fam27	33819
fam28	34425
fam29	34941
fam30	35375
fam31	36211
fam32	37666
fam33	38328
fam34	39418
fam35	40078
fam36	41480
fam40	44259
fam41	44990
fam42	45295
fam44	47107
fam45	48419
fam46	49008
fam47	50359
fam48	51012
fam49	51710
fam50	52797
fam51	53675
fam53	55241
fam54	62419
fam57	66243
fam59	67891
fam60	68181
fam61	69561
fam62	70985
fam63	72132
fam64	73549
fam65	74228
fam66	75147
fam67	76024
fam68	76437
fam69	76639
fam70	77303
fam71	79962
fam72	80209
fam73	81906
fam74	83945
fam75	84525
fam76	86904
fam77	87798
fam78	88507
fam79	89979
fam80	92004
fam81	93321
fam82	94721
fam83	95620
fam84	96616
fam85	97376
fam86	98095
fam87	98436
fam88	100006
fam89	101356
fam90	102348
fam91	103356
fam92	104327
fam93	104847
fam94	105317
fam96	106803
fam97	108390
fam98	109386
fam99	111088
fam100	111998
fam101	112872
fam102	114196
fam103	114953
fam104	115654
fam105	116971
fam107	118112
fam108	118646
fam109	120185
fam110	120525
fam111	121550
fam112	122683
fam113	123857
fam114	124885
fam115	126545
fam116	127201
fam117	129664
fam118	131365
fam119	133036
fam120	134381
fam121	137007
fam122	137884
fam123	139372
fam124	139758
fam125	141872
fam126	142826
fam127	143686
fam128	144498
fam129	145240
fam130	146442
fam131	147892
fam132	148692
fam133	150524
fam134	151150
fam135	152025
fam136	152974
fam137	153713
fam138	156167
fam139	157452
fam140	158263
fam142	161862
fam143	164582
fam144	165788
fam145	166714
fam146	169274
fam147	170051
fam148	170492
fam149	171781
fam152	173618
fam153	174606
fam154	175055
fam155	175686
fam156	177538
fam157	178921
fam158	179623
fam159	180098
fam160	181609
fam161	182729
fam162	183628
fam163	185136
fam164	186481
fam165	187869
fam166	188377
fam167	189175
fam168	190110
fam169	191273
fam170	193040
fam171	193661
fam172	194720
fam173	196279
fam174	197229
fam175	197996
fam176	198736
fam177	199346
fam178	201176
fam179	201784
fam180	202503
fam181	203477
fam182	204246
fam183	204950
fam184	207365
fam186	209388
fam187	209727
fam188	210060
fam189	211231
fam190	212124
fam191	212806
fam192	214589
fam193	215565
fam194	217019
fam195	218099
fam196	219173
fam198	220979
fam199	224024
fam200	225022
fam201	225830
fam203	230206
fam204	231242
fam205	232298
fam206	233608
fam207	234092
fam208	234846
fam209	235791
fam211	237005
fam212	239096
fam213	241125
fam214	242079
fam219	247161
fam220	247854
fam221	248404
fam222	249734
fam223	250512
fam224	253485
fam225	254828
fam226	255897
fam227	256461
fam228	257017
fam229	257211
fam230	257420
fam231	257774
fam232	259054
fam233	259956
fam234	260743
fam235	261076
fam236	262102
fam237	263531
fam238	264198
fam239	266446
fam240	267875
fam241	268163
fam242	268994
fam243	269713
fam244	270677
fam245	271636
fam246	272759
fam247	274322
fam248	276334
fam249	277255
fam250	278345
fam251	279464
fam252	280065
fam253	281024
fam254	281961
fam255	282691
fam256	283662
fam257	284359
fam258	286017
fam259	287115
fam260	289257
fam261	289719
fam262	290003
fam263	291373
fam264	292403
fam265	293611
fam266	294327
fam267	294745
fam268	295743
fam269	296478
fam270	297320
fam271	298095
fam272	298295
fam273	299309
fam274	301322
fam275	301868
fam276	302933
fam277	303291
fam278	305558
fam279	308070
fam280	311216
fam281	311766
fam292	323184
fam293	324240
fam294	325750
fam295	326767
fam297	327770
fam298	328699
fam299	329406
fam300	330174
fam303	334317
fam304	335438
fam305	336567
fam310	342081
fam311	342640
fam312	343509
fam313	344842
fam314	346024
fam315	347658
fam316	348125
fam317	348862
fam318	349776
fam319	350631
fam320	352615
fam321	353106
fam322	353672
fam324	356026
fam325	356867
fam327	367163
fam328	368902
fam329	369705
fam330	370337
fam331	371254
fam332	372455
fam333	373071
fam334	374597
fam335	375754
fam336	377800
fam337	378338
fam338	379987
fam340	382883
fam341	383496
fam342	385355
fam343	387153
fam344	388579
fam345	388987
fam346	389426
fam347	391655
fam348	394528
fam349	395348
fam350	397153
fam351	398137
fam352	400225
fam353	401685
fam354	403699
fam356	405658
fam357	406848
fam358	407843
fam359	409132
fam360	409749
fam361	410915
fam363	414134
fam364	415258
fam366	419134
fam368	422254
fam369	424370
fam370	425107
fam371	426726
fam372	427415
fam373	427930
fam374	428724
fam375	429881
fam377	432243
fam378	433290
fam379	434026
fam380	434583
fam381	435012
fam382	435842
fam383	436244
fam384	436946
fam385	437968
fam386	438794
fam387	440312
fam388	441074
fam389	442523
fam391	444193
fam392	444585
fam393	446150
fam394	447395
fam395	449504
fam396	451310
fam397	452325
fam399	452903
fam400	455365
fam401	455772
fam402	456570
fam403	459347
fam404	460332
fam405	462162
fam406	462957
fam408	466220
fam409	467203
fam410	467757
fam413	468342
fam414	469898
fam415	470626
fam416	472706
fam417	473981
fam418	475273
fam419	475839
fam420	476366
fam421	477416
fam422	478023
fam423	478712
fam424	480503
fam425	481735
fam426	482352
fam427	482720
fam428	484040
fam429	485310
fam430	485666
fam431	487330
fam432	487784
fam433	488872
fam435	490627
fam436	492391
fam437	493920
fam438	494603
fam439	495513
fam441	496511
fam442	497267
fam444	507421
fam445	508480
fam446	509493
fam447	510522
fam448	512415
fam449	513293
fam450	513901
fam451	514081
fam452	514912
fam453	516117
fam454	516763
fam455	517799
fam456	518716
fam457	519329
fam458	520447
fam459	522534
fam460	524557
fam461	525337
fam462	526477
fam463	527244
fam464	527446
fam465	528545
fam466	529128
fam467	531111
fam468	531519
fam469	533727
fam470	534210
fam471	535164
fam472	536150
fam473	537857
fam474	539420
fam475	540805
fam476	541789
fam477	542516
fam479	544590
fam480	546324
fam481	548027
fam482	548402
fam483	548823
fam484	549673
fam485	551108
fam486	553714
fam487	555345
fam488	557202
fam489	558514
fam490	559135
fam491	560730
fam492	562090
fam493	562893
fam494	563668
fam495	564747
fam496	566517
fam497	568072
fam498	569903
fam499	570983
fam500	571785
fam501	572574
fam502	573343
fam503	575297
fam504	575967
fam505	576352
fam506	577654
fam507	579160
fam508	579877
fam509	581090
fam510	582726
fam511	583361
fam512	584325
fam513	585005
fam516	587773
fam518	589521
fam519	589982
fam520	591370
fam521	593125
fam522	594827
fam523	595942
fam524	596389
fam525	597444
fam526	598329
fam527	599952
fam528	602060
fam531	605516
fam532	607004
fam533	608072
fam534	608887
fam535	609523
fam536	610923
fam537	611847
fam538	613060
fam539	613601
fam540	614627
fam541	615278
fam542	616277
fam544	618149
fam545	619049
fam546	619749
fam547	620477
fam548	622146
fam549	622758
fam550	623388
fam551	623921
fam552	624162
fam553	625010
fam554	625768
fam555	626461
fam556	627600
fam557	628730
fam558	629635
fam559	632272
fam560	632590
fam561	633513
fam562	637451
fam563	638994
fam564	639562
fam565	640229
fam566	640701
fam567	641748
fam568	642422
fam569	643932
fam570	644584
fam571	645193
fam572	646636
fam574	647769
fam575	648401
fam576	650569
fam577	651692
fam578	653291
fam579	654387
fam580	655070
fam581	656504
fam582	657262
fam584	659352
fam585	660256
fam586	661016
fam587	661750
fam588	662699
fam589	664254
fam590	665431
fam591	666045
fam592	666748
fam593	667193
fam594	668921
fam595	669328
fam596	669643
fam597	670748
fam598	671555
fam599	673534
fam600	675989
fam601	677393
fam603	679365
fam604	681884
fam605	682114
fam606	683729
fam608	685085
fam609	686076
fam610	686650
fam615	691550
fam616	692412
fam617	692962
fam618	694306
fam619	694727
fam620	695288
fam621	696627
fam622	697824
fam623	699050
fam624	700761
fam625	701807
fam626	701982
fam627	702653
fam628	703587
fam629	705332
fam630	707226
fam631	708582
fam632	710360
fam633	710915
fam634	711352
fam635	713010
fam636	713677
fam637	714865
fam638	715530
fam639	716574
fam641	718682
fam642	719989
fam643	720981
fam644	721761
fam645	723738
fam646	724783
fam647	725900
fam648	726322
fam649	726795
fam650	727861
fam651	728959
fam652	729692
fam653	730145
fam654	731710
fam656	733281
fam657	734527
fam658	734956
fam659	737107
fam660	737873
fam661	739454
fam662	740089
fam663	740888
fam664	742669
fam665	743401
fam666	744429
fam667	744624
fam668	744966
fam669	745319
fam670	746973
fam671	747986
fam672	749378
fam673	750279
fam674	751325
fam675	752183
fam676	753351
fam677	754420
fam678	757673
fam679	758143
fam680	758559
fam681	759352
fam682	760973
fam683	761356
fam685	762637
fam686	763358
fam687	764663
fam688	766097
fam689	767538
fam690	770085
fam692	771212
fam693	771925
fam694	774176
fam695	775528
fam696	776676
fam697	777796
fam698	778411
fam699	779199
fam700	780094
fam701	781055
fam702	781740
fam703	782346
fam704	783566
fam705	784086
fam706	784596
fam707	785917
fam708	786384
fam709	786842
fam710	787075
fam711	787686
fam712	788726
