fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.10396148885645098	0.09750185996288759	0.03340389969845588	0.01108181818181818	0.0092	0.006566926062195012	0.11681212121212121	0.0955	0.07946683824850934	1498562	0.03267087818236043
fam966	0.5325768186062303	0.6645021645021645	0.3064201488095962	0.003934632034632035	0.005	0.004223026419208002	0.002658008658008658	0.0	0.005808257550661543	1178171	0.003607503607503607
fam393	0.12792169762869562	0.09826589595375722	0.12871494848062426	0.0018835497835497832	0.0017	0.0021559516828484377	0.012195670995670994	0.013	0.00960580084277985	552625	0.004696219749983192
fam1571	0.02855324393133418	0.0	0.049573880422676055	0.0012142857142857144	0.0	0.0015914311361866994	0.04873506493506493	0.0512	0.024616235973044943	1736922	0.014308923399832491
fam158	0.07808227610968395	0.03237095363079615	0.14252791579645463	0.004701298701298702	0.0032	0.0043246748046747744	0.1271787878787879	0.0876	0.13840110767737002	327846	0.032037597106090256
fam1037	0.30735433887076846	0.24647887323943662	0.18130489473739966	0.007235930735930736	0.0047	0.005002324903158623	0.02814458874458875	0.0329	0.01881356592797089	1251036	0.013239187996469552
fam3479	0.07122016027544613	0.07081545064377683	0.03868273958426552	0.003106190476190477	0.0033	0.0020620631743832173	0.04453666666666666	0.0494	0.023684842215933186	47751	0.015915203290618574
fam3276	0.028628219726845372	0.0	0.04168983439080388	0.0010974025974025974	0.0	0.0019175182842369103	0.01968528138528139	0.0111	0.01924053148332055	103712	0.00630292139726102
fam1720	0.07148725969837734	0.06429548563611491	0.060128450642721376	0.002725108225108225	0.0031	0.001600857957599155	0.04495757575757575	0.0439	0.024207201197041436	1573355	0.014324194324194324
fam1499	0.1188268700678179	0.11240624044536036	0.04155706154311723	0.006575324675324675	0.0073	0.002995631271162683	0.05647186147186148	0.063	0.021686334107246272	1761037	0.020612720612720608
fam1031	0.1561215690308777	0.13696969696969696	0.1055786663880009	0.009036796536796537	0.0113	0.0060328456056375135	0.062176190476190475	0.0763	0.03801059313773377	1244094	0.022179466623911067
