fam	loc
fam1	72518
fam2	73895
fam3	76053
fam4	78612
fam5	79516
fam7	81977
fam9	83649
fam11	84535
fam12	85564
fam13	85841
fam14	87376
fam17	90406
fam18	91291
fam19	92901
fam20	93812
fam21	94241
fam22	95233
fam23	96925
fam24	98247
fam26	101040
fam27	101788
fam32	108548
fam33	109140
fam34	110522
fam35	112042
fam36	115014
fam37	116843
fam38	117840
fam40	120772
fam41	123628
fam42	124860
fam43	126076
fam44	127052
fam45	128050
fam46	130364
fam50	135230
fam51	136188
fam53	137965
fam54	138417
fam55	138800
fam56	139527
fam57	141081
fam58	143936
fam59	145633
fam60	146892
fam61	148868
fam62	151060
fam63	152310
fam66	156275
fam68	157462
fam69	157854
fam70	158777
fam71	159739
fam72	160801
fam73	161101
fam74	161743
fam75	162477
fam76	163606
fam77	164418
fam80	175490
fam81	176489
fam82	178922
fam85	186818
fam86	190669
fam87	191358
fam88	191818
fam89	192026
fam90	193968
fam92	195425
fam93	197022
fam94	199424
fam95	202158
fam97	206335
fam98	207090
fam99	208273
fam100	209754
fam101	210116
fam103	211758
fam104	213223
fam105	214125
fam106	214994
fam107	216001
fam108	216219
fam110	218342
fam111	218936
fam112	219172
fam113	220380
fam114	221349
fam115	223581
fam117	225663
fam118	227387
fam120	229979
fam121	230853
fam122	232026
fam123	233195
fam124	233629
fam125	233940
fam126	234756
fam127	236254
fam128	238055
fam129	238917
fam130	241092
fam131	241713
fam132	243040
fam133	244499
fam134	248216
fam135	248804
fam136	248985
fam139	251589
fam140	252253
fam141	253662
fam142	255097
fam144	256745
fam145	259171
fam146	260445
fam147	261149
fam148	261917
fam149	262740
fam150	264237
fam151	264821
fam152	265814
fam153	266323
fam154	268211
fam155	269215
fam156	272051
fam158	274105
fam160	277588
fam163	280919
fam165	285421
fam166	285945
fam167	286833
fam168	289331
fam169	289689
fam170	291256
fam171	293374
fam172	293919
fam173	295522
fam174	297436
fam175	298698
fam176	302225
fam177	302758
fam181	309353
fam183	317585
fam185	321079
fam187	322834
fam189	323687
fam190	324400
fam191	327195
fam192	329083
fam193	329475
fam194	330569
fam195	332029
fam196	332598
fam197	333319
fam198	334122
fam199	334421
fam200	335392
fam201	335963
fam202	336329
fam203	338685
fam204	339103
fam206	340574
fam208	342822
fam209	343640
fam210	344410
fam211	345609
fam212	346089
fam213	349402
fam214	349758
fam215	351621
fam216	353456
fam217	355592
fam219	358505
fam220	361329
fam221	362479
fam224	366026
fam225	367246
fam226	367824
fam228	368612
fam229	369051
fam230	369746
fam231	370952
fam233	372222
fam234	373235
fam235	374099
fam236	375189
fam237	375668
fam238	377894
fam239	379365
fam240	380487
fam241	380825
fam242	382506
fam244	383738
fam245	385394
fam246	386172
fam247	387362
fam249	390277
fam250	391301
fam251	391980
fam253	396277
fam254	398851
fam256	401569
fam258	402606
fam259	403817
fam260	404995
fam261	406002
fam262	406881
fam263	409646
fam264	410993
fam265	411909
fam266	412273
fam267	412506
fam268	414908
fam270	417466
fam272	418262
fam273	419717
fam274	420358
fam275	421113
fam276	422558
fam277	424265
fam278	425568
fam279	426472
fam280	426792
fam281	427126
fam282	428113
fam283	428838
fam284	429747
fam285	430841
fam286	431821
fam287	432735
fam288	433191
fam289	433707
fam290	434951
fam291	435210
fam292	435419
fam293	435855
fam294	437325
fam295	438398
fam296	440281
fam297	441082
fam298	442054
fam300	444152
fam301	445522
fam303	447530
fam304	449049
fam305	450781
fam306	451468
fam307	452473
fam308	453314
fam309	454402
fam312	457256
fam313	458028
fam314	459235
fam315	460196
fam316	460678
fam317	461044
fam318	462597
fam322	465174
fam323	466740
fam324	467402
fam325	468433
fam326	469233
fam327	469596
fam328	469909
fam329	471666
fam330	472535
fam331	473598
fam332	475053
fam333	476223
fam335	478531
fam336	479700
fam337	480831
fam338	482459
fam339	483018
fam340	483821
fam342	485933
fam343	486462
fam345	488931
fam346	489671
fam349	493196
fam350	495315
fam352	501525
fam354	503701
fam355	504272
fam356	505163
fam357	507031
fam358	507796
fam359	509167
fam360	509631
fam362	513389
fam363	514111
fam364	515436
fam365	515696
fam366	515949
fam367	516909
fam368	517706
fam369	518431
fam370	519179
fam371	520099
fam372	521717
fam373	522003
fam374	523178
fam375	524977
fam376	526359
fam377	533300
fam378	534959
fam379	536629
fam380	538040
fam381	539102
fam382	541284
fam383	541916
fam386	545526
fam387	546254
fam388	548168
fam389	551309
fam390	554652
fam391	555871
fam392	556283
fam393	557253
fam394	559919
fam395	561092
fam396	561613
fam397	562323
fam403	568232
fam405	569598
fam406	571614
fam407	576215
fam408	576798
fam409	578132
fam410	578683
fam439	614872
fam443	619526
fam444	620451
fam446	624379
fam448	628702
fam449	631107
fam450	632034
fam451	632359
fam452	632646
fam454	634522
fam455	635559
fam471	648913
fam476	653484
fam477	654188
fam479	658978
fam480	659328
fam483	662142
fam484	663104
fam485	663932
fam486	665974
fam487	668483
fam488	669601
fam489	670541
fam490	671547
fam491	672496
fam492	673827
fam494	677487
fam496	679551
fam497	681017
fam498	683312
fam501	686152
fam502	686725
fam503	687031
fam504	687581
fam505	688540
fam506	689844
fam507	690083
fam508	691339
fam509	692620
fam510	693249
fam512	694775
fam513	695426
fam514	698770
fam515	700257
fam517	701883
fam518	704949
fam520	709174
fam529	721897
fam530	725244
fam531	727439
fam532	728126
fam533	729355
fam534	730879
fam535	732018
fam536	733039
fam537	734075
fam538	734607
fam539	735890
fam540	737669
fam541	738873
fam543	740552
fam544	741495
fam545	742405
fam546	743875
fam547	746508
fam548	747539
fam549	748149
fam550	750643
fam551	752085
fam552	753678
fam553	754720
fam554	756072
fam555	756457
fam556	757258
fam557	758727
fam558	760167
fam559	761522
fam560	762505
fam561	762790
fam564	767824
fam565	768656
fam566	770192
fam568	771144
fam569	771636
fam570	772212
fam571	774227
fam572	774977
fam574	776947
fam575	777231
fam580	782559
fam581	784188
fam582	784803
fam583	786268
fam584	787588
fam585	789008
fam589	794427
fam591	797270
fam592	798244
fam593	799127
fam596	801386
fam598	802517
fam599	803558
fam600	804608
fam601	806694
fam602	808186
fam603	809517
fam605	811179
fam606	812501
fam607	813326
fam608	813814
fam609	814521
fam610	815639
fam611	817936
fam612	818472
fam613	820456
fam614	821697
fam615	821920
fam617	823346
fam618	825016
fam619	825529
fam620	826565
fam622	828069
fam624	829807
fam625	832084
fam627	834364
fam628	834885
fam629	835715
fam630	837089
fam631	838393
fam632	840128
fam633	842948
fam637	849518
fam638	851645
fam639	853488
fam640	854662
fam641	855411
fam642	855872
fam643	856396
fam644	857053
fam645	858666
fam646	858974
fam647	859800
fam648	860601
fam649	862594
fam651	863300
fam652	864687
fam653	865438
fam654	867063
fam655	867792
fam656	868965
fam657	869799
fam658	870327
fam659	870553
fam660	871308
fam662	873017
fam664	875733
fam665	876834
fam666	877924
fam667	878589
fam668	882204
fam669	884866
fam671	886402
fam672	886927
fam674	888806
fam675	889198
fam676	890085
fam677	891338
fam678	892599
fam681	896218
fam682	898022
fam683	899482
fam684	902782
fam685	904222
fam687	905573
fam688	906622
fam689	907665
fam690	908787
fam691	909605
fam693	911978
fam694	913355
fam695	913803
fam696	914813
fam697	915974
fam698	917152
fam699	918066
fam700	918664
fam701	919754
fam702	920590
fam704	923353
fam705	926512
fam706	927975
