fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam98	0.07142857142857142	0.0	0.12371791482634836	0.00047999999999999996	0.0	0.0005878775382679626	0.0016799999999999999	0.0	0.0020575713839378696	206012	0.0007469654528478058
fam62	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	236054	0.0
fam43	0.0	0.0	0.0	0.0	0.0	0.0	0.01992	0.0332	0.016264611892080304	191943	0.0056603773584905665
fam124	0.2494525374805528	0.22142857142857142	0.23901748453267663	0.004919999999999999	0.0031	0.0043815065902038765	0.01999	0.01425	0.01169978204925203	77245	0.007518796992481203
fam116	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	119393	0.0
fam69	0.0	0.0	0.0	0.0	0.0	0.0	0.007000000000000001	0.0	0.008573214099741124	250805	0.002150537634408602
fam74	0.09917141739324839	0.10582010582010583	0.011515866159012286	0.0027	0.0015	0.002491987158875422	0.02269	0.0	0.027789474626196155	267820	0.007982740021574971
fam93	0.0	0.0	0.0	0.0	0.0	0.0	0.00558	0.0093	0.004556050921576711	235157	0.0012422360248447205
fam44	0.039838722309090364	0.06926406926406926	0.034501913770612194	0.00064	0.0	0.000783836717690617	0.01191	0.0091	0.009678786080909114	192800	0.003508771929824561
fam15	nan	nan	nan	0.00124	0.0	0.0015186836405255704	0.0	0.0	0.0	102880	0.000966183574879227
fam17	0.0	0.0	0.0	0.0	0.0	0.0	0.00612	0.0	0.007495438612916524	110933	0.0014109347442680775
fam90	0.19564348521183053	0.16606714628297362	0.11657738564261592	0.00279	0.0023	0.001420176045425355	0.00832	0.0138	0.006793349689218125	244573	0.004166666666666667
fam77	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	279305	0.0
fam41	0.0	0.0	0.0	0.0	0.0	0.0	0.02233	0.0122	0.020734659389534227	190207	0.0056603773584905665
fam78	nan	nan	nan	0.00176	0.0	0.002155550973649197	0.0	0.0	0.0	279612	0.001282051282051282
fam16	0.0	0.0	0.0	0.0	0.0	0.0	0.012759999999999999	0.0	0.015627744558956675	109685	0.00291970802919708
fam126	nan	nan	nan	0.00092	0.0	0.0011267652816802619	0.0	0.0	0.0	72867	0.0007575757575757576
fam112	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	123799	0.0
fam115	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	119569	0.0
fam35	0.06908322643563956	0.03789839159594041	0.09010240622285677	0.0017500000000000003	0.0022	0.0009372833082905083	0.035800000000000005	0.058	0.02831628506707757	165396	0.009587513935340023
fam26	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	135347	0.0
fam48	0.46192893401015234	0.46192893401015234	0.0	0.00364	0.0	0.004458071331865384	0.00788	0.0	0.00965098958656572	196288	0.0049382716049382715
fam2	0.12962962962962965	0.11111111111111112	0.07635380788180854	0.0006000000000000001	0.0005	0.0003	0.0027	0.0045	0.00220454076850486	7322	0.000956937799043062
fam68	0.0	0.0	0.0	0.0	0.0	0.0	0.0016	0.0	0.0019595917942265427	249212	0.0004329004329004329
fam88	0.0	0.0	0.0	0.0	0.0	0.0	0.0050799999999999994	0.0	0.006221703946669272	252576	0.0010416666666666667
fam25	0.0	0.0	0.0	0.0	0.0	0.0	0.00612	0.0	0.007495438612916525	131391	0.0017316017316017316
fam5	0.06145251396648046	0.06145251396648045	0.06145251396648045	0.00132	0.0022	0.0010777754868245984	0.01074	0.0179	0.008769173279163777	30123	0.003157894736842105
fam84	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	264310	0.0
fam100	0.14516129032258066	0.14516129032258066	0.14516129032258066	0.0010700000000000002	0.0	0.0013107631364972087	0.00558	0.0093	0.004556050921576711	181221	0.00205761316872428
fam23	1.0344827586206897	0.9655172413793104	0.9801841657621997	0.0033599999999999997	0.0028	0.0027434285119171593	0.00232	0.0029	0.0017399999999999998	128721	0.0030747728860936407
fam102	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	171059	0.0
fam40	0.0	0.0	0.0	0.0	0.0	0.0	0.011899999999999999	0.0109	0.007968437738979957	184704	0.002726146220570012
fam71	0.04545301520397013	0.05851063829787234	0.025279599249890903	0.0024300000000000003	0.0022	0.0018385048272985308	0.04722	0.0409	0.02792163319005534	258971	0.012153708668453977
fam31	0.2455403094115917	0.2832764505119454	0.05336696253574494	0.0053100000000000005	0.005	0.0027616842687027063	0.017599999999999998	0.0293	0.014370386216104284	156231	0.00797940797940798
fam137	0.0	0.0	0.0	0.0	0.0	0.0	0.01652	0.01735	0.007983583155450941	24459	0.0032148900169204743
fam129	0.4160805626598465	0.2753623188405797	0.24373114784683533	0.00228	0.0019	0.0018616122045152154	0.00275	0.0	0.0033681597349294466	68018	0.0023703703703703703
fam143	0.0	0.0	0.0	0.0	0.0	0.0	0.012039999999999999	0.0	0.014745928251554732	10047	0.0027777777777777775
fam6	0.024943310657596376	0.0	0.03527516822245816	0.00088	0.0	0.0010777754868245984	0.01764	0.0294	0.014402999687565086	31702	0.003942652329749104
fam73	0.0	0.0	0.0	0.0	0.0	0.0	0.015040000000000001	0.0	0.018420162865729502	266901	0.0037825059101654845
fam117	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	119112	0.0
fam30	nan	nan	nan	0.00116	0.0	0.001420704050814243	0.0	0.0	0.0	155444	0.0009195402298850574
fam86	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	257593	0.0
fam94	0.18323127777933076	0.19581496519721575	0.08612732390343021	0.0073999999999999995	0.0107	0.004328510136294011	0.04651999999999999	0.04	0.02904771247447895	230867	0.07872340425531912
fam53	0.0	0.0	0.0	0.0	0.0	0.0	0.00988	0.0	0.012100479329348898	199451	0.002666666666666667
fam89	0.15083798882681565	0.15083798882681565	0.027932960893854747	0.0017300000000000002	0.0022	0.0012853404218338424	0.01074	0.0179	0.008769173279163777	249023	0.0034722222222222216
fam142	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	11670	0.0
fam123	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	79349	0.0
fam109	0.0	0.0	0.0	0.0	0.0	0.0	0.010440000000000001	0.0	0.012786336457328192	151903	0.001568627450980392
