fam	loc
fam1	1968563
fam2	1967972
fam3	1967247
fam4	1966705
fam5	1965705
fam6	1965146
fam7	1964266
fam8	1962954
fam9	1961376
fam10	1960409
fam11	1959629
fam12	1958934
fam13	1958427
fam14	1957590
fam15	1956150
fam16	1955393
fam18	1954326
fam19	1952389
fam20	1951439
fam21	1950991
fam23	1949506
fam24	1949069
fam25	1946537
fam28	1943211
fam29	1942703
fam30	1942404
fam33	1937295
fam34	1935353
fam35	1933626
fam36	1932491
fam37	1931959
fam38	1931491
fam39	1930039
fam40	1928575
fam41	1927037
fam42	1926060
fam43	1925299
fam44	1924455
fam45	1924046
fam46	1922418
fam47	1921755
fam48	1921386
fam49	1918379
fam50	1916374
fam51	1915677
fam52	1915147
fam53	1913301
fam54	1912295
fam55	1911727
fam56	1911289
fam57	1910340
fam58	1909650
fam59	1908511
fam60	1908104
fam61	1906726
fam63	1904905
fam64	1903875
fam65	1903053
fam66	1902130
fam67	1900931
fam68	1900320
fam69	1899693
fam70	1899004
fam71	1897985
fam72	1897149
fam73	1896634
fam74	1895687
fam75	1892966
fam77	1891113
fam78	1890608
fam79	1889993
fam80	1889069
fam81	1888307
fam82	1886366
fam83	1885973
fam84	1885065
fam85	1884759
fam86	1883117
fam87	1882493
fam88	1882089
fam89	1881620
fam90	1880652
fam91	1880331
fam92	1876593
fam119	1854154
fam120	1852495
fam121	1849507
fam122	1845020
fam123	1843038
fam124	1842364
fam125	1840205
fam126	1839455
fam127	1838333
fam128	1835854
fam129	1834712
fam130	1833788
fam134	1825979
fam138	1822877
fam142	1818183
fam143	1817456
fam144	1816938
fam145	1816090
fam146	1815631
fam147	1814649
fam148	1814303
fam149	1813788
fam150	1812800
fam151	1812382
fam154	1808453
fam163	1798602
fam164	1797499
fam165	1796018
fam166	1795267
fam167	1794074
fam168	1792964
fam169	1792027
fam170	1791470
fam171	1789406
fam172	1788669
fam173	1787748
fam174	1786639
fam175	1786028
fam176	1784383
fam177	1783614
fam178	1783050
fam179	1782154
fam180	1781366
fam181	1780115
fam182	1778355
fam189	1771475
fam191	1769334
fam192	1768310
fam193	1767886
fam194	1767165
fam195	1763671
fam196	1763375
fam197	1762550
fam200	1758561
fam201	1757803
fam202	1756863
fam203	1756288
fam204	1754595
fam209	1748477
fam210	1747602
fam211	1746937
fam212	1746593
fam213	1745239
fam214	1744928
fam215	1744717
fam216	1744518
fam217	1743407
fam218	1742106
fam219	1741121
fam220	1738904
fam221	1737729
fam222	1736209
fam223	1735045
fam224	1734189
fam225	1732352
fam226	1731999
fam230	1730777
fam231	1730042
fam232	1729060
fam235	1727723
fam236	1726536
fam237	1725450
fam238	1724047
fam239	1722803
fam240	1722065
fam241	1720986
fam242	1719188
fam243	1718960
fam244	1717231
fam247	1713052
fam248	1711370
fam249	1711122
fam250	1709860
fam251	1708701
fam252	1707992
fam253	1707704
fam254	1707345
fam255	1705738
fam256	1705050
fam257	1703746
fam258	1701686
fam259	1700910
fam260	1698604
fam261	1696385
fam262	1695454
fam263	1694023
fam264	1693822
fam265	1691890
fam266	1691252
fam267	1690545
fam268	1689355
fam269	1688403
fam270	1687314
fam272	1685310
fam274	1683416
fam275	1682235
fam276	1681301
fam277	1680522
fam278	1679768
fam279	1678671
fam280	1677825
fam281	1677323
fam282	1675730
fam283	1675100
fam284	1674505
fam285	1673628
fam286	1672857
fam287	1672134
fam288	1671437
fam289	1669419
fam290	1668115
fam291	1666508
fam292	1664997
fam293	1664473
fam294	1662780
fam295	1661013
fam296	1660197
fam297	1658548
fam298	1657538
fam299	1656691
fam300	1656083
fam301	1655542
fam302	1653735
fam303	1652886
fam304	1652415
fam305	1650518
fam306	1647911
fam307	1647278
fam308	1646847
fam309	1644599
fam338	1621658
fam339	1620063
fam340	1619102
fam341	1617920
fam342	1616688
fam343	1616077
fam344	1613847
fam346	1610329
fam347	1609272
fam348	1607878
fam349	1607033
fam350	1606445
fam351	1605504
