fam	loc
fam1	7440
fam2	8757
fam3	9227
fam4	10361
fam5	12374
fam6	14995
fam7	15528
fam8	16079
fam9	16349
fam10	18600
fam11	19073
fam12	20601
fam13	22292
fam14	23401
fam15	24300
fam16	25079
fam17	25944
fam18	26211
fam19	27335
fam20	28027
fam21	28828
fam24	31306
fam26	33692
fam27	34174
fam28	35144
fam29	36535
fam30	37618
fam32	39373
fam33	40606
fam34	41827
fam35	42640
fam37	44294
fam39	45499
fam40	46716
fam41	47197
fam43	48307
fam44	49582
fam46	51062
fam47	51429
fam49	53839
fam50	54474
fam53	58767
fam54	59637
fam57	62262
fam58	63064
fam60	69278
fam61	70759
fam62	71341
fam63	72078
fam65	74297
fam66	76205
fam67	77526
fam68	78352
fam69	79193
fam71	81610
fam74	86449
fam75	88243
fam76	89610
fam81	96112
fam82	96999
fam83	98665
fam84	99378
fam85	100095
fam86	101227
fam87	101868
fam88	102376
fam89	103042
fam90	103357
fam91	104743
fam92	105399
fam94	106372
fam96	107721
fam99	109956
fam103	115338
fam104	116822
fam106	119346
fam107	120833
fam108	121808
fam109	123643
fam110	125241
fam111	126378
fam112	128542
fam114	130484
fam115	132396
fam117	133284
fam118	135669
fam119	136706
fam120	138426
fam133	152614
fam134	152817
fam136	154986
fam137	156269
fam138	157309
fam139	158282
fam140	158627
fam147	164728
fam148	165304
fam149	165509
fam150	165953
fam151	166441
fam152	167928
fam159	173657
fam160	174614
fam161	175465
fam162	176412
fam169	183635
fam170	185079
fam171	186501
fam172	190226
fam173	191382
fam174	192125
fam177	196788
fam178	197617
fam179	198946
fam180	199206
fam181	200265
fam182	200681
fam183	201609
fam184	202696
fam185	203432
fam186	204979
fam188	206152
fam200	219048
fam201	221700
fam204	224903
fam205	230756
fam207	232952
fam208	233399
fam210	234444
fam214	241135
fam215	241587
fam216	242435
fam217	243514
fam219	245106
fam220	246235
fam221	247323
fam222	248430
fam223	249144
fam228	252054
fam233	255675
fam235	259295
fam236	260065
fam237	260539
fam238	262010
fam239	262734
fam243	270949
fam244	272679
fam245	273524
fam246	274723
fam247	276048
fam248	277739
fam250	279420
fam251	280097
fam252	280908
fam253	282750
fam254	284130
fam255	285510
