fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.09743608183683944	0.07848837209302326	0.08524062938325246	0.003314545454545455	0.0027	0.002171586615760943	0.04475090909090909	0.0506	0.027389340147564865	166142	0.012855831037649222
fam966	0.04351462798458059	0.0385645420460632	0.01943715805813423	0.00566	0.0053	0.0039944780066304714	0.1527818181818182	0.1024	0.13330974879567864	1048637	0.03252876156101963
fam393	0.2148243347212482	0.22159076147670884	0.0666725866648192	0.03735636363636364	0.0172	0.029603505711540707	0.1673945454545455	0.1011	0.12543075658514008	433372	0.06462376574736126
fam1571	0.053115305167616554	0.05028160710807923	0.02531950724381868	0.005427272727272726	0.0037	0.003566432112984758	0.11061454545454548	0.1175	0.06399671133079438	399988	0.03465186213277816
fam158	0.11470565617253829	0.09950248756218906	0.0695977516090424	0.007998181818181821	0.0079	0.004575845313226673	0.09474727272727271	0.0636	0.07280589350406749	178795	0.03398083398083398
fam1037	0.028423476158804417	0.027268220128904314	0.009463071556920014	0.013952727272727266	0.0067	0.012028721001237822	0.5013	0.246	0.425366608083812	1068760	0.0714913844325609
fam1720	0.02428574455623772	0.0	0.052635929913291093	0.0012309090909090909	0.0	0.001377728397468123	0.07273454545454545	0.0739	0.047189344784146194	242668	0.014517265680056379
fam1499	0.07962193821821256	0.058673978281987234	0.07976895725772999	0.0063999999999999994	0.0069	0.0038191860151322583	0.11978363636363638	0.1152	0.07377676836520575	477251	0.033720665299612665
fam1031	0.010593136441669508	0.012958963282937365	0.00690799036418261	0.00256	0.0036	0.0019530488985173924	0.19962222222222228	0.2328	0.10154305904150304	1074536	0.046208112874779536
fam680	0.1302760473626144	0.12089498376037532	0.04389224816655907	0.06622545454545455	0.0952	0.039813246850682604	0.6154781818181817	0.7596	0.4629364537938654	738229	0.12832980972515856
fam875	0.02162552308976309	0.0	0.036951104840178634	0.0024272727272727276	0.0	0.005149067154542021	0.0419181818181818	0.0214	0.05680387339836829	941563	0.010835629017447201
fam1781	0.05559339663558402	0.0611142694712905	0.025076890941908684	0.011565454545454544	0.0066	0.009629315432702333	0.1872563636363637	0.167	0.1506614612767631	168655	0.042461197339246116
fam425	0.10746993618057037	0.13125189451348893	0.05206159215723148	0.022669090909090906	0.0373	0.019120363944113927	0.1783254545454545	0.2319	0.10876646076998989	467203	0.05813456907909683
fam1195	0.020242017960919	0.018030513176144243	0.019471027851024444	0.0015618181818181816	0.0013	0.0014141481096522591	0.07727454545454546	0.0674	0.059406813867470605	899868	0.017054693274205467
fam1928	0.14728280733766988	0.16143497757847533	0.08232166806434194	0.008741818181818182	0.0145	0.007544551095967833	0.05323272727272727	0.0663	0.03800288053458079	33578	0.019159335288367545
fam98	0.0	0.0	0.0	0.0	0.0	0.0	0.10622888888888894	0.0452	0.15382385398344756	123827	0.019640852974186305
fam657	0.08074879325095521	0.08646616541353384	0.0368931144626285	0.004816363636363637	0.0058	0.002198988497746894	0.06263999999999999	0.0706	0.029600624072045265	716624	0.018714274528228016
fam1496	0.09308546503353901	0.07955944165509843	0.05545370311271149	0.011776363636363639	0.0057	0.012459577749103315	0.11228909090909095	0.1205	0.06313631622486603	480110	0.03621490983454174
fam265	0.09864704760189053	0.06385869565217392	0.08301472356723279	0.006623636363636366	0.0054	0.004956353631684693	0.09861454545454545	0.0556	0.09947180215917167	298604	0.024611973392461208
fam1040	0.021308703975523206	0.016732819674682854	0.013382215257453617	0.011652727272727273	0.014	0.007049715778808636	0.6750472727272727	0.4543	0.48788142741841967	1067102	0.08228822882288228
