fam	loc
fam36	142881
fam37	142423
fam38	141514
fam39	140705
fam40	139839
fam41	139021
fam42	138533
fam43	137513
fam44	136942
fam45	136556
fam46	136421
fam47	136171
fam48	135113
fam49	134463
fam50	133115
fam51	132673
fam52	132460
fam53	131946
fam54	131559
fam55	130990
fam56	130560
fam57	130343
fam58	129781
fam59	129444
fam60	129040
fam61	128737
fam62	128511
fam63	128087
fam64	127429
fam65	127084
fam66	126788
fam67	125897
fam68	125581
fam69	124958
fam70	124301
fam71	123919
fam72	122777
fam73	121477
fam74	119280
fam75	118755
fam76	118214
fam77	117852
fam78	114108
fam79	110465
fam80	109604
fam81	109142
fam82	108593
fam83	107635
fam84	107101
fam85	106405
fam86	106057
fam87	105873
fam88	105140
fam89	104564
fam90	103812
fam91	103397
fam92	101993
fam93	101343
fam94	99579
fam95	99008
fam96	98315
fam97	97201
fam98	95968
fam99	94586
fam100	92057
fam101	90969
fam102	90482
fam103	89928
fam105	81539
fam106	80447
fam107	80221
fam108	79766
fam109	79407
fam110	78557
fam111	77699
fam112	77109
fam113	75677
fam114	74629
fam115	73643
fam116	72721
fam117	71930
fam118	69866
fam119	69231
fam120	67812
fam121	66708
fam122	65987
fam123	63427
fam124	62479
fam125	62022
fam126	61365
fam127	61060
fam128	60726
fam129	59245
fam130	57654
fam131	56930
fam132	53257
fam133	52958
fam134	52336
fam135	51569
fam136	50477
fam137	49084
fam138	48589
fam139	47987
fam140	47115
fam141	46190
fam142	45858
fam143	45437
fam144	44339
fam145	43346
fam146	42793
fam147	41429
fam148	40417
fam149	38336
fam150	37525
fam151	36598
fam152	36324
fam153	35594
fam154	35185
fam155	34343
fam156	33351
fam157	32899
fam158	32557
fam159	31839
fam160	30433
fam161	29291
fam162	28658
fam163	28335
fam164	22609
fam165	22318
fam166	21703
fam167	21343
fam168	19625
fam169	18477
fam170	17843
fam171	16496
fam172	15787
fam173	15131
fam174	13990
fam175	12614
fam176	11704
fam177	10799
fam178	9074
fam180	6132
fam181	4505
fam182	3415
fam183	4482
fam184	6631
fam185	6934
fam186	8064
fam187	8296
fam188	9583
fam189	11120
fam190	11875
fam191	12313
fam192	13254
fam193	13874
fam194	15655
fam195	17559
fam196	18292
fam197	19273
fam198	21235
fam199	22082
fam200	22734
fam201	23862
fam202	24298
fam203	25633
fam204	26135
fam205	27452
fam206	27848
fam207	28427
fam208	28707
fam209	29876
fam210	31386
fam211	32549
fam212	33154
fam213	33841
fam214	35480
fam215	36245
fam216	36889
fam217	37744
fam218	38725
fam219	41977
fam220	42423
fam221	44967
fam222	45136
fam223	46981
fam228	51045
fam229	52110
fam230	53720
fam231	54263
fam234	57725
fam235	59218
fam236	59971
fam237	61781
fam238	63627
fam239	64996
fam240	65846
fam241	66647
fam242	67916
fam243	68448
fam244	69369
fam245	70059
fam246	71495
fam247	72067
fam248	73802
fam249	74620
fam250	74956
fam251	75516
fam258	85067
fam261	88195
fam262	89131
fam264	90657
fam265	92711
fam266	94160
fam270	99985
fam271	100998
fam272	102198
fam274	103663
fam275	105519
fam276	106247
fam277	106450
fam278	107244
fam279	107738
fam284	115199
fam286	118956
fam287	119728
fam288	120997
fam289	122387
fam290	123556
fam291	123987
fam292	125237
fam293	126184
fam294	126637
fam295	128007
fam296	130356
fam297	131588
fam298	132442
fam299	135093
fam301	137330
fam302	139025
fam306	143599
fam307	145329
fam308	146682
fam309	147881
fam310	149250
fam311	151079
fam312	152102
fam313	152590
fam314	153710
fam315	156044
fam316	156877
fam317	157968
fam319	161472
fam320	162574
fam321	163579
fam322	164335
fam323	165683
fam324	167010
fam325	167646
fam326	168298
fam327	168617
fam328	171188
fam329	171649
fam330	172026
fam331	174404
fam332	175338
fam333	175934
fam334	177507
fam335	178231
fam336	179221
fam337	180205
fam339	182800
fam340	185035
fam341	186425
fam342	187604
fam343	188693
fam344	188957
fam345	190479
fam346	191029
fam347	192230
fam348	193001
fam349	193550
fam350	194114
fam351	194516
fam352	195711
fam353	197161
fam354	198711
fam355	199432
fam356	199733
fam357	200446
fam358	200704
fam359	204051
fam360	205516
fam361	205852
fam362	206201
fam363	207115
fam365	209695
fam366	210443
fam367	211314
fam368	211824
fam369	212652
fam370	213326
fam371	215202
fam372	216166
fam373	217186
fam374	217943
fam375	218722
fam376	219679
fam377	220689
fam378	221812
fam379	223549
fam380	224552
fam381	226288
fam382	228011
fam383	229112
fam384	230101
fam385	230409
fam386	230618
fam387	232300
fam390	236867
fam391	237295
fam392	238659
fam393	239012
fam394	240337
fam395	240854
fam396	241067
fam397	244053
fam398	245549
fam399	247115
fam400	248125
fam401	248853
fam402	250143
fam403	251426
fam404	252141
fam405	252866
fam406	253334
fam407	254634
fam408	256636
fam409	257013
fam410	258066
fam411	258908
fam412	259563
fam413	260071
fam414	261640
fam415	261951
fam422	268065
fam423	268747
fam424	269190
fam425	270029
fam426	270314
fam427	271194
fam428	272557
fam429	273549
fam430	275096
fam431	276191
fam432	277665
fam433	279651
fam434	280268
fam435	280650
fam436	282281
fam437	283970
fam438	284831
fam439	285889
fam440	286128
fam441	288633
fam442	289412
fam443	290298
fam444	291942
fam445	293419
fam452	301567
fam453	303656
fam454	304096
fam455	305053
fam456	305730
fam457	307122
fam458	307625
fam459	308966
fam460	309408
fam461	310725
fam462	311593
fam463	312539
fam464	313958
fam465	315158
fam466	316030
fam467	317156
fam468	317886
fam469	318911
fam470	319654
fam471	320616
fam472	321474
fam473	321922
fam474	322817
fam476	325568
fam477	327004
fam478	327781
fam479	328485
fam480	329089
fam481	330471
fam482	331096
fam486	336245
fam487	337457
fam488	338053
fam489	338324
fam492	340698
fam494	341447
fam495	342534
fam497	345455
fam498	345685
fam499	346528
fam500	346992
fam501	348465
fam502	348996
fam503	350031
fam504	350267
fam505	351037
fam506	351568
fam507	353762
fam508	354817
fam509	355759
fam511	356733
fam512	358403
fam513	359668
fam514	361323
fam515	363144
fam516	364409
fam517	364692
fam518	365728
fam519	366937
fam520	369192
fam522	371354
fam523	372478
fam524	373637
fam526	374737
fam527	376584
fam528	377155
fam529	377710
fam530	378746
fam531	379496
fam532	381033
fam533	382031
fam534	383681
fam535	384014
fam536	384704
fam537	386684
fam538	387725
fam539	388314
fam540	389592
fam541	390466
fam542	391087
fam543	391863
fam544	392370
fam545	393584
fam546	394199
fam547	394721
fam548	395304
fam549	395856
fam550	397280
fam551	398056
fam552	398936
fam553	399678
fam554	399939
fam555	400581
fam556	401123
fam557	402648
fam558	403603
fam559	405049
fam560	405469
fam561	405984
fam562	406385
fam563	407249
fam564	408589
