fam	loc
fam1	1353
fam2	2645
fam3	2848
fam4	3385
fam5	6022
fam6	7684
fam7	8936
fam8	10522
fam9	11712
fam10	12103
fam11	13505
fam12	14800
fam13	15877
fam14	16425
fam15	17253
fam16	18077
fam17	18864
fam18	19680
fam19	20628
fam20	21308
fam21	22197
fam22	23529
fam23	25587
fam24	27908
fam25	28357
fam26	29739
fam27	30031
fam28	31343
fam29	32103
fam30	33101
fam31	33337
fam32	34198
fam33	37960
fam34	39486
fam35	40551
fam36	41099
fam38	43434
fam42	46336
fam43	48268
fam44	48741
fam45	49682
fam46	50487
fam47	50906
fam48	52220
fam49	53478
fam59	59340
fam60	59917
fam61	60233
fam62	60575
fam63	62144
fam64	63388
fam65	63648
fam66	64909
fam67	65504
fam80	83387
fam81	84165
fam82	84744
fam83	86220
fam84	86789
fam85	88360
fam86	90917
fam87	91835
fam88	92496
fam89	93781
fam90	94802
fam93	96836
fam94	98988
fam95	100211
fam96	101024
fam97	101921
fam98	103218
fam99	104659
fam100	106534
fam101	108788
fam103	113084
fam104	113667
fam105	114338
fam106	114754
fam107	116558
fam108	119526
fam112	122780
fam118	129180
fam119	129792
fam120	130393
fam121	131417
fam122	131724
fam123	132427
fam124	134392
fam125	135773
fam126	136393
fam127	138022
fam128	139623
fam129	141007
fam130	141618
fam132	144947
fam133	145740
fam134	146239
fam137	149170
fam138	150100
fam139	151382
fam141	152690
fam142	154795
fam143	155886
fam144	156714
fam145	158017
fam146	158827
fam147	160050
fam148	160609
fam149	161273
fam150	163544
fam151	164567
fam152	165613
fam153	167515
fam154	169286
fam155	170154
fam157	170878
fam159	171406
fam162	173782
fam163	174605
fam164	175237
fam165	176844
fam166	178219
fam167	179619
fam168	180126
fam169	180925
fam170	181903
fam171	183033
fam172	183680
fam173	183954
fam174	185505
fam175	185725
fam176	186210
fam177	187232
fam178	187794
fam179	188660
fam180	190111
fam181	190458
fam182	191327
fam183	191790
fam184	192981
fam185	194205
fam186	194882
fam187	195507
fam188	196765
fam189	197696
fam190	198607
fam191	199161
fam193	199819
fam194	200309
fam195	202809
fam196	204052
fam197	209046
fam198	210562
fam199	215476
fam200	216373
fam201	217046
fam202	217700
fam203	219076
fam204	219534
fam206	224471
fam207	224705
fam208	225668
fam209	226117
fam210	227117
fam211	227822
fam212	228144
fam213	228999
fam214	229969
fam215	230809
fam216	232040
fam217	232801
fam218	234617
fam219	234958
fam220	235557
fam221	237869
fam223	240243
fam224	241108
fam225	242040
fam226	243048
fam227	243977
fam228	244986
fam229	245974
fam230	247285
fam231	248460
fam232	249103
fam233	249866
fam234	252319
fam235	253633
fam238	256076
fam239	256790
fam241	260463
fam242	261160
fam243	262054
fam244	262509
fam245	263057
fam246	265446
fam247	266101
fam248	267620
fam249	268019
fam250	268674
fam251	269538
fam252	270045
fam253	271741
fam254	272723
fam255	273374
fam256	275953
fam257	276386
fam260	279059
fam261	280436
fam262	281610
fam263	282709
fam264	283480
fam265	284844
fam267	288458
fam268	288790
fam269	289984
fam270	293323
fam271	294147
fam272	294785
fam277	300179
fam278	300636
fam280	302752
fam281	303263
fam282	304912
fam283	305975
fam284	306852
fam286	309086
fam287	310011
fam289	311003
fam290	311923
fam291	312758
fam292	313554
fam293	314479
fam294	316433
fam295	316936
fam296	319467
fam297	320459
fam298	323310
fam299	323803
fam300	324683
fam301	325723
fam302	326568
fam303	327866
fam304	328596
fam305	330852
fam306	331753
fam307	335012
fam309	338225
fam310	338946
fam311	339636
fam312	341038
fam313	341535
fam314	343326
fam315	344031
fam316	344442
fam317	344770
fam318	345538
fam321	349869
fam322	351344
fam323	354177
fam324	354881
fam325	355131
fam326	355909
fam327	356439
fam328	357800
fam329	358197
fam330	359059
fam331	360299
fam332	362498
fam333	363528
fam334	364404
fam336	365775
fam337	366417
fam338	366829
fam366	387561
fam369	389660
fam371	391754
fam372	392707
fam373	397199
fam374	398181
fam376	401794
fam377	402375
fam378	403723
fam379	404469
fam380	405220
fam381	406022
fam382	406725
fam383	406937
fam384	407362
fam385	407934
fam386	408815
fam387	409536
fam388	410733
fam389	411302
fam390	413619
fam391	414501
fam392	415944
fam393	419750
fam394	420383
fam395	421234
fam396	427551
fam397	428694
fam398	429166
fam399	429742
fam400	431114
fam401	431862
fam402	432708
fam403	435572
fam404	436626
fam405	437104
fam406	438200
fam407	440288
fam408	441502
fam409	442957
fam410	443446
fam411	445051
fam412	448091
fam413	449165
fam414	449722
fam415	451860
fam416	452366
fam417	453832
fam418	455265
fam419	455651
fam420	456930
fam422	458626
fam424	460196
fam425	461305
fam426	461723
fam427	462384
fam428	462983
fam429	463358
fam430	464168
fam431	465261
fam432	466162
fam433	467108
fam434	468338
fam435	469582
fam436	470628
fam437	471525
fam438	473021
fam439	474078
fam440	474772
fam441	476657
fam442	478317
fam443	478910
fam444	479587
fam445	480975
fam446	482008
fam447	482592
fam449	483106
fam450	483831
fam451	484352
fam452	485026
fam454	486638
fam456	488005
fam457	488475
fam458	488844
fam459	489876
fam461	492332
fam462	493008
fam463	493638
fam464	494615
fam465	496311
fam466	497134
fam468	498359
fam469	499727
fam470	500342
fam471	501127
fam472	502022
fam473	503302
fam474	508100
fam475	509486
fam476	510695
fam477	511323
fam478	512906
fam479	514466
fam480	515168
fam481	517721
fam482	518554
fam484	519766
fam485	520921
fam486	521821
fam487	522534
fam488	523887
fam491	527877
fam492	528579
fam493	530067
fam494	530589
fam495	531093
fam496	532800
fam497	533380
fam499	534964
fam500	535319
fam501	536128
fam502	536664
fam503	537368
fam504	539529
fam505	539998
fam506	541087
fam507	542523
fam508	543485
fam509	544245
fam510	545778
fam511	546307
fam512	546831
fam513	548049
fam514	548401
fam515	548828
fam516	549698
fam517	550750
fam518	551585
fam519	552217
fam520	552817
fam521	554104
fam522	554411
fam523	554703
fam524	557561
fam525	558094
fam526	559870
fam527	561183
fam528	561532
fam529	562456
fam530	562909
fam536	571197
fam537	572521
fam538	577385
fam539	578662
fam540	580704
fam541	580984
fam542	581739
fam543	582002
fam544	583137
fam545	583466
fam546	585725
fam547	586710
fam548	588153
fam549	589131
fam550	589874
fam551	590204
fam552	591182
fam553	592853
fam554	593674
fam555	594282
fam556	595695
fam557	597945
fam558	598540
fam559	599133
fam560	599553
fam561	601251
fam562	602669
fam563	603208
fam564	605049
fam565	605789
fam566	606128
fam567	608630
fam568	609578
fam569	610881
fam570	611642
fam571	613492
fam572	614363
fam573	615361
fam574	615995
fam575	617486
fam576	617869
fam577	618835
fam578	619565
fam579	620922
fam580	621584
fam581	622211
fam582	628727
fam583	629376
fam584	630242
fam585	631048
fam586	632474
fam587	633364
fam588	635258
fam589	638392
fam590	638876
fam591	640240
fam592	640521
fam594	641995
fam595	645713
fam599	650511
fam600	650863
fam601	652275
fam602	652957
fam603	653588
fam604	654210
fam605	654694
fam606	655724
fam607	656432
fam608	657530
fam609	658056
fam610	659603
fam611	661365
fam612	661925
fam613	662940
fam614	663704
fam615	664278
fam616	665491
fam617	666263
fam620	667578
fam621	667983
fam622	668357
fam623	669249
fam624	671278
fam625	671580
fam626	673177
fam627	674249
fam628	675448
fam629	676948
fam630	678224
fam631	678898
fam632	679477
fam633	679745
fam634	680536
fam635	681286
fam636	684343
fam637	684936
fam639	685732
fam640	686283
fam641	687333
fam642	687998
fam643	690310
fam644	690793
fam645	691781
fam646	692551
fam647	693501
fam648	694996
fam649	695186
fam650	696058
fam651	696866
fam652	697290
fam653	698956
fam654	699722
fam655	700619
fam656	701039
fam657	701809
fam658	702663
fam659	702989
fam660	704072
fam662	709707
fam663	710469
fam664	711313
fam665	711692
fam666	712658
fam667	713467
fam668	714441
fam669	715044
fam670	716260
fam671	716399
fam672	716675
fam673	719109
fam674	719539
fam675	721521
fam676	722559
fam677	724494
fam678	725299
fam679	726024
fam680	726866
fam681	729591
fam682	730535
fam683	731044
fam685	732545
fam687	734124
fam688	734926
fam689	735302
fam690	735767
fam691	736657
fam692	736987
fam693	738111
fam694	739595
fam695	739954
fam696	740321
fam697	740888
fam698	742463
fam699	743212
fam700	744883
fam701	746270
fam702	746949
fam703	748224
fam704	749803
fam705	750536
fam706	751042
fam707	751884
fam708	752834
fam709	753415
fam710	754763
fam711	757661
fam712	759150
fam713	760182
fam714	760545
fam715	761863
fam716	762044
fam717	762928
fam718	763846
fam719	764855
fam720	765755
fam721	766803
fam723	768338
fam724	769507
fam725	770650
fam726	771965
fam729	775103
fam732	777076
fam733	778430
fam734	779226
fam735	779617
fam736	780558
fam737	784082
fam738	784881
fam739	785687
fam740	787307
fam741	788813
fam742	789760
fam743	790662
fam744	793099
fam745	793526
fam746	795355
fam747	796197
fam748	797048
fam749	799142
fam750	800001
fam751	801619
fam752	802581
fam753	803987
fam754	804855
fam755	805869
fam756	806874
fam757	808244
fam758	809031
fam759	809801
fam760	810868
fam761	811309
fam762	813535
fam763	814753
fam765	815973
fam766	816333
fam767	816644
fam768	817115
fam769	817702
fam770	818744
fam771	820690
fam772	821370
fam774	823768
fam775	824798
fam776	825778
fam778	826812
fam779	828684
fam784	834541
fam785	835651
fam786	837322
fam787	838042
fam788	839522
fam789	840159
fam790	840660
fam791	841035
fam792	841651
fam793	842795
fam794	843102
fam795	843933
fam796	844284
fam797	845241
fam798	848043
fam799	849693
fam800	850090
fam802	851133
fam803	851693
fam804	852997
fam805	854222
fam806	855061
fam807	863262
fam808	864994
fam809	866566
fam810	867499
fam811	868254
fam812	870246
fam813	870801
fam814	873622
fam816	874994
fam817	875712
fam818	876709
fam820	878556
fam821	879222
fam822	881985
fam823	883256
fam824	884525
fam826	885595
fam827	886938
fam828	887887
fam829	888630
fam830	890019
fam831	892082
fam832	892391
fam833	893777
fam834	894651
fam835	895262
fam836	895892
fam837	896420
fam838	897531
fam839	898168
fam840	899838
fam841	900062
fam842	901056
fam843	902074
fam844	902896
fam845	904915
fam846	905965
fam847	906228
fam848	907612
fam849	908212
fam850	909091
fam851	909717
fam853	911228
fam854	912741
fam855	913682
fam856	914473
fam857	915285
fam858	916072
fam859	916673
fam866	922529
fam868	924678
fam869	925725
fam870	926502
fam871	929012
fam872	929631
fam874	931380
fam875	933863
fam876	934923
fam877	942937
fam878	943648
fam879	944321
fam880	945470
fam881	946595
fam882	947544
fam883	949108
fam884	950317
fam885	951263
fam886	951998
fam887	952711
fam888	953310
fam889	954225
fam890	955196
fam891	956104
fam892	956904
fam893	957782
fam894	958494
fam895	959210
fam896	961040
fam897	962784
fam898	964110
fam899	965041
fam900	965561
fam903	975125
fam904	976380
fam905	977969
fam906	979488
fam907	979964
fam908	982338
fam909	983871
fam910	985198
fam911	985382
fam912	985605
fam913	986521
fam914	987213
fam915	987699
fam916	988630
fam917	989400
fam918	990079
fam919	990719
fam920	991544
fam921	993220
fam922	994206
fam923	994655
fam925	996398
fam926	997364
fam927	998634
fam928	999250
fam929	1000190
fam930	1001050
fam931	1001794
fam932	1002896
fam933	1003524
fam934	1005849
fam935	1006446
fam936	1007487
fam937	1008176
fam938	1009032
fam939	1009859
fam940	1010643
fam941	1011749
fam943	1014054
fam944	1014652
fam945	1015867
fam946	1016927
fam947	1017921
fam948	1018258
fam949	1019516
fam950	1020298
fam951	1021783
fam952	1023676
fam953	1024680
fam954	1025600
fam955	1026941
fam956	1027879
fam957	1028685
fam959	1031270
fam960	1033020
fam961	1035485
fam962	1036123
fam963	1036323
fam964	1036812
fam965	1037499
fam966	1038303
fam967	1038538
fam968	1038948
fam969	1039463
fam970	1040271
fam972	1044095
fam973	1044979
fam975	1046090
fam976	1046622
fam979	1048032
fam980	1048584
fam981	1049150
fam982	1050585
fam984	1052765
fam985	1053705
fam986	1054196
fam987	1054478
fam988	1055241
fam989	1056546
fam990	1057524
fam991	1058438
fam992	1059312
fam993	1060126
fam994	1060986
fam995	1061661
fam1003	1067272
fam1004	1069949
fam1008	1072208
fam1009	1073012
fam1010	1074408
fam1011	1076025
fam1013	1076930
fam1014	1077962
fam1015	1078661
fam1016	1079935
fam1017	1080614
fam1018	1080990
fam1019	1082119
fam1020	1083794
fam1021	1084845
fam1022	1085803
fam1023	1086764
fam1024	1087733
fam1025	1088736
fam1026	1089200
fam1027	1090074
fam1029	1091295
fam1030	1092650
fam1031	1093934
fam1032	1094743
fam1033	1095147
fam1034	1095787
fam1035	1097456
fam1036	1100659
fam1037	1102065
fam1038	1103357
fam1039	1104381
fam1040	1106850
fam1041	1107734
fam1042	1108642
fam1043	1044175
fam1044	1043648
fam1045	1042796
fam1046	1041998
fam1047	1040802
fam1048	1038940
fam1049	1037319
fam1050	1036478
fam1051	1035985
fam1052	1035767
fam1053	1034164
fam1055	1031113
fam1057	1029345
fam1058	1028196
fam1059	1026426
fam1060	1025304
fam1061	1023899
fam1062	1022914
fam1063	1021531
fam1064	1020778
fam1065	1019904
fam1066	1019013
fam1067	1018195
fam1068	1017467
fam1069	1016228
fam1071	1015506
fam1072	1014860
fam1073	1013890
fam1074	1012831
fam1075	1011811
fam1076	1011095
fam1077	1010121
fam1078	1008857
fam1080	1007396
fam1081	1006317
fam1082	1005709
fam1083	1005405
fam1085	1003443
fam1086	1002279
fam1087	1000757
fam1088	1000491
fam1089	999775
fam1090	998091
fam1091	996938
fam1092	996026
fam1093	994341
fam1094	992851
fam1095	991642
fam1096	991017
fam1097	989758
fam1098	989155
fam1099	988368
fam1100	986382
fam1101	985651
fam1102	984485
fam1103	983906
fam1105	982762
fam1110	976074
fam1111	975370
fam1112	973537
fam1113	971791
fam1114	971068
fam1115	970488
fam1116	969914
fam1117	968329
fam1118	967685
fam1119	966959
fam1120	966292
fam1121	964089
fam1122	963163
fam1123	962458
fam1124	961643
fam1125	960861
fam1126	960023
fam1127	959556
fam1129	957676
fam1130	956391
fam1132	954734
fam1133	954122
fam1134	953589
fam1135	951846
fam1137	950296
fam1138	949748
fam1139	949201
fam1140	947246
fam1141	946787
fam1143	944849
fam1144	943808
fam1145	942899
fam1146	942085
fam1147	941436
fam1148	940764
fam1149	939736
fam1150	938599
fam1151	938262
fam1152	937994
fam1153	937243
fam1154	936543
fam1155	935706
fam1156	933228
fam1157	932066
fam1158	930189
fam1159	929541
fam1160	928420
fam1161	925817
fam1162	924756
fam1164	924259
fam1165	922264
fam1166	921457
fam1167	919259
fam1168	917849
fam1169	917372
fam1170	916710
fam1171	915923
fam1172	914367
fam1173	913603
fam1174	912832
fam1175	911644
fam1176	910825
fam1177	909729
fam1180	906878
fam1181	906105
fam1182	905395
fam1185	902366
fam1188	898745
fam1189	898026
fam1190	896888
fam1191	896515
fam1192	895403
fam1193	894238
fam1194	892430
fam1195	891867
fam1196	891582
fam1197	890772
fam1199	888379
fam1200	887984
fam1201	887522
fam1202	886013
fam1203	884933
fam1204	883027
fam1205	881215
fam1206	879483
fam1207	878199
fam1208	876694
fam1210	875638
fam1211	874942
fam1212	873760
fam1213	873275
fam1214	872747
fam1221	865314
fam1222	864729
fam1223	864107
fam1225	862564
fam1226	861195
fam1227	857680
fam1228	856739
fam1231	854623
fam1232	854115
fam1233	853458
fam1237	851052
fam1238	850761
fam1240	848885
fam1241	848241
fam1242	847478
fam1243	846726
fam1244	845592
fam1245	843711
fam1246	841952
fam1247	841322
fam1248	840732
fam1249	839415
fam1250	838918
fam1251	836633
fam1252	835246
fam1253	834585
fam1254	832990
fam1255	831927
fam1256	828754
fam1257	827787
fam1258	826975
fam1260	825857
fam1261	824966
fam1262	824389
fam1263	823845
fam1264	822005
fam1268	817356
fam1270	816249
fam1271	814543
fam1274	811270
fam1275	809853
fam1276	809011
fam1277	808535
fam1278	807259
fam1279	806207
fam1280	805753
fam1281	804629
fam1282	803446
fam1283	802290
fam1284	801355
fam1285	800688
fam1286	799528
fam1287	797087
fam1289	795409
fam1290	794967
fam1291	794596
fam1292	794333
fam1293	792488
fam1294	790001
fam1295	789026
fam1296	787058
fam1297	786401
fam1298	785803
fam1299	785349
fam1300	784545
fam1301	784078
fam1303	782307
fam1304	781301
fam1305	780002
fam1306	779458
fam1307	778148
fam1308	777186
fam1309	776838
fam1310	776381
fam1311	775623
fam1312	774892
fam1313	774297
fam1314	773678
fam1315	772374
fam1316	771733
fam1317	770747
fam1318	769633
fam1319	768854
fam1320	765170
fam1321	761892
fam1322	758327
fam1323	756330
fam1324	755677
fam1325	754441
fam1326	753753
fam1327	752513
fam1328	752219
fam1329	750933
fam1330	750675
fam1331	750151
fam1332	749461
fam1333	748076
fam1334	747421
fam1335	747081
fam1336	745966
fam1338	743291
fam1339	741259
fam1340	740676
fam1341	739975
fam1342	738729
fam1343	737739
fam1344	735152
fam1345	734328
fam1346	733360
fam1347	732675
fam1349	731630
fam1350	730400
fam1351	729625
fam1352	728919
fam1354	726885
fam1355	725763
fam1356	725038
fam1357	722973
fam1358	721942
fam1359	721285
fam1360	720538
fam1361	719133
fam1362	717407
fam1363	716480
fam1364	715957
fam1365	715439
fam1366	713068
fam1367	712563
fam1368	710152
fam1369	709811
fam1370	709060
fam1371	708210
fam1372	707939
fam1373	706312
fam1375	705365
fam1376	705005
fam1377	704442
fam1378	703054
fam1379	702518
fam1381	701365
fam1382	700662
fam1383	700433
fam1389	696076
fam1390	695635
fam1391	694043
fam1394	690685
fam1395	689925
fam1396	682137
fam1398	677202
fam1399	676444
fam1400	676093
fam1401	675287
fam1402	674233
fam1404	673231
fam1405	672363
fam1406	671495
fam1407	669353
fam1409	667580
fam1421	659494
fam1422	658468
fam1423	657798
fam1424	656329
fam1425	654984
fam1426	651191
fam1427	650790
fam1428	650276
fam1429	649173
fam1430	648242
fam1431	647716
fam1432	647274
fam1433	646319
fam1438	640859
fam1439	640461
fam1440	639651
fam1441	639203
fam1442	638696
fam1443	637794
fam1444	637468
fam1445	636554
fam1446	635919
fam1447	634802
fam1448	634339
fam1449	632925
fam1450	632006
fam1451	630485
fam1452	629934
fam1453	629440
fam1454	628707
fam1455	628471
fam1456	627665
fam1457	625116
fam1458	623471
fam1459	622335
fam1460	621203
fam1461	619117
fam1462	617126
fam1463	616861
fam1464	616197
fam1465	613952
fam1466	612826
fam1467	612060
fam1468	611522
fam1469	610763
fam1471	610324
fam1472	609983
fam1473	608694
fam1474	607954
fam1475	606749
fam1476	605709
fam1477	602862
fam1478	602342
fam1479	601183
fam1480	600294
fam1481	598490
fam1482	597381
fam1483	596123
fam1484	594673
fam1485	593796
fam1486	592460
fam1487	591978
fam1488	590609
fam1489	589076
fam1490	587960
fam1491	586768
fam1492	585488
fam1493	584544
fam1494	583970
fam1495	583699
fam1496	582933
fam1497	581654
fam1498	580937
fam1499	579827
fam1500	577496
fam1501	576847
fam1502	576223
fam1503	575444
fam1504	572945
fam1505	572094
fam1506	571838
fam1507	571074
fam1508	569196
fam1510	568439
fam1511	567215
fam1512	566095
fam1513	563429
fam1514	562305
fam1515	561312
fam1516	561032
fam1517	559173
fam1518	555930
fam1519	555323
fam1520	553917
fam1521	553106
fam1522	551892
fam1523	550642
fam1524	549917
fam1525	548633
fam1526	547869
fam1527	546916
fam1528	546043
fam1529	544718
fam1530	544359
fam1531	543691
fam1532	542862
fam1534	540104
fam1535	538429
fam1536	537333
fam1537	535550
fam1538	534007
fam1540	533101
fam1541	532596
fam1542	531570
fam1543	530625
fam1544	528258
fam1545	525552
fam1546	523686
fam1547	521581
fam1548	520691
fam1550	518298
fam1551	516560
fam1552	515335
fam1553	514466
fam1554	512907
fam1555	512421
fam1556	511610
fam1557	510669
fam1558	510300
fam1559	509554
fam1560	509007
fam1561	508164
fam1562	506454
fam1563	505007
fam1564	504386
fam1565	503658
fam1566	503056
fam1567	502352
fam1568	501624
fam1569	501166
fam1570	500648
fam1571	499695
fam1572	498904
fam1573	498584
fam1574	497279
fam1575	495949
fam1576	495027
fam1577	494098
fam1578	493661
fam1582	490111
fam1583	488552
fam1584	487985
fam1585	486157
fam1586	485297
fam1587	483850
fam1588	483410
fam1589	482925
fam1590	481686
fam1591	480862
fam1592	479932
fam1593	478962
fam1594	478449
fam1595	477419
fam1596	476985
fam1597	476056
fam1598	474433
fam1600	467489
fam1601	466411
fam1602	465476
fam1603	463980
fam1604	461924
fam1605	459665
fam1606	457457
fam1607	455279
fam1608	453748
fam1609	451929
fam1610	451474
fam1611	450255
fam1612	448953
fam1613	448141
fam1614	446888
fam1615	446166
fam1616	445196
fam1617	443188
fam1618	441337
fam1619	440600
fam1620	440099
fam1621	439096
fam1622	438153
fam1623	437056
fam1624	436317
fam1625	435431
fam1626	433512
fam1627	433144
fam1628	432781
fam1629	431986
fam1630	431504
fam1667	402205
fam1668	401385
fam1669	400391
fam1670	399224
fam1671	398406
fam1672	396723
fam1673	395338
fam1674	393420
fam1675	391664
fam1676	391213
fam1677	390372
fam1678	389952
fam1679	389004
fam1680	388239
fam1681	386312
fam1682	384718
fam1683	383301
fam1684	381657
fam1685	381046
fam1686	379382
fam1687	378386
fam1688	377437
fam1689	375386
fam1690	374523
fam1691	371822
fam1692	370531
fam1693	368268
fam1694	366523
fam1695	365669
fam1697	363344
fam1698	362436
fam1700	359116
fam1703	356441
fam1704	355519
fam1705	354458
fam1706	352417
fam1707	351551
fam1708	350713
fam1709	349754
fam1710	349112
fam1711	347658
fam1712	345423
fam1713	344408
fam1714	343767
fam1715	342027
fam1716	341415
fam1717	339993
fam1718	338435
fam1720	336539
fam1721	333433
fam1722	332147
fam1723	331307
fam1724	330755
fam1725	330337
fam1726	329602
fam1727	328605
fam1728	328069
fam1729	325785
fam1730	324899
fam1731	323942
fam1734	322406
