fam	loc
fam1	1267
fam2	2697
fam3	3150
fam4	5410
fam5	6801
fam6	7786
fam8	13899
fam9	15591
fam10	16432
fam11	17380
fam12	19958
fam13	20989
fam14	21264
fam15	22746
fam16	23325
fam17	24590
fam18	25129
fam19	26412
fam20	28513
fam21	29999
fam22	30244
fam23	31042
fam24	31537
fam25	32343
fam27	33415
fam28	34495
fam29	34830
fam30	36391
fam32	39543
fam33	40621
fam34	43099
fam35	43398
fam36	43673
fam37	44148
fam38	44841
fam39	46171
fam41	47555
fam42	48686
fam43	50285
fam44	53038
fam45	54422
fam46	54933
fam47	55830
fam48	56564
fam49	57428
fam50	58270
fam51	63641
fam52	64710
fam53	66510
fam54	67280
fam55	68465
fam56	69670
fam57	70649
fam58	71511
fam59	72469
fam60	73306
fam61	74589
fam62	75930
fam63	77178
fam64	78384
fam65	79642
fam66	80280
fam67	81619
fam69	82800
fam70	84190
fam71	87353
fam72	87972
fam73	89520
fam74	90867
fam75	92141
fam76	92762
fam77	94258
fam78	98107
fam79	99212
fam80	101008
fam81	103428
fam82	104629
fam83	105709
fam84	106849
fam85	108213
fam86	108592
fam87	109889
fam88	110473
fam89	111476
fam90	112526
fam91	113677
fam92	114312
fam93	115327
fam94	115955
fam95	116524
fam96	117671
fam97	119695
fam98	120465
fam99	121790
fam100	122947
fam101	124339
fam102	124781
fam103	126177
fam104	127210
fam105	128685
fam106	129205
fam107	129870
fam108	130655
fam109	133043
fam110	133705
fam111	139284
fam112	140554
fam113	141040
fam114	142333
fam115	142896
fam116	145690
fam117	146953
fam118	148323
fam119	149300
fam120	152562
fam121	155165
fam122	155664
fam123	163043
fam124	163909
fam125	164690
fam126	164927
fam127	165845
fam128	167469
fam129	169256
fam131	171643
fam132	172371
fam133	173542
fam134	174512
fam135	176928
fam136	177368
fam137	178329
fam138	178815
fam139	179838
fam140	180899
fam141	182684
fam142	183487
fam143	184754
fam144	185203
fam145	185911
fam146	187198
fam148	189255
fam149	190876
fam150	192046
fam151	194226
fam152	194855
fam153	195514
fam154	197314
fam155	198756
fam156	200118
fam157	200559
fam159	201305
fam160	201634
fam161	202170
fam162	202512
fam163	203265
fam164	205103
fam165	207586
fam166	209648
fam167	210018
fam168	210636
fam169	213722
fam170	214769
fam171	216199
fam172	217318
fam173	217865
fam174	218341
fam175	218603
fam176	219127
fam177	220043
fam178	220230
fam179	221706
fam180	224702
fam181	225801
fam182	227352
fam183	228217
fam184	228656
fam185	229645
fam186	234419
fam187	235281
fam188	235648
fam189	236030
fam190	237654
fam192	240786
fam193	242170
fam194	242926
fam195	243843
fam196	245073
fam197	245963
fam198	247599
fam199	250727
fam200	252019
fam201	252814
fam202	253239
fam203	256603
fam204	257677
fam205	258617
fam206	259317
fam207	260188
fam208	260795
fam209	261777
fam210	261949
fam211	262339
fam212	263371
fam213	265657
fam214	266754
fam215	267821
fam216	268884
fam217	271784
fam218	274029
fam219	274326
fam220	275027
fam222	275971
fam223	276624
fam224	277151
fam226	278170
fam227	279403
fam228	280235
fam229	280916
fam230	281534
fam231	283453
fam232	284894
fam233	286678
fam234	287486
fam235	288689
fam236	290607
fam237	291631
fam238	293151
fam239	294690
fam240	295237
fam241	296709
fam242	297551
fam243	298447
fam244	299688
fam245	301916
fam246	302815
fam247	303162
fam248	304045
fam249	305266
fam250	308275
fam251	311355
fam252	314490
fam253	317463
fam254	318658
fam255	321349
fam256	323442
fam257	323834
fam258	324337
fam259	325824
fam260	327292
fam261	328407
fam263	330405
fam264	331323
fam265	331997
fam266	333355
fam267	334732
fam268	335523
fam269	337120
fam270	338187
fam271	339585
fam272	340519
fam273	342011
fam274	342575
fam275	346707
fam276	348639
fam277	349569
fam278	349971
fam279	351238
fam280	352094
fam281	353437
fam282	353778
fam283	354850
fam284	355240
fam285	355956
fam286	356564
fam287	356859
fam289	360884
fam290	362159
fam291	363280
fam292	364444
fam293	365141
fam294	365735
fam295	366986
fam296	367812
fam297	369871
fam298	370451
fam299	371396
fam300	373217
fam301	373986
fam302	375079
fam303	375886
fam304	377279
fam305	377698
fam306	379983
fam307	381251
fam308	381687
fam309	381862
fam310	384733
fam311	385831
fam312	386595
fam313	388409
fam314	389679
fam315	390032
fam316	392034
fam317	392903
fam318	394299
fam319	395748
fam320	397624
fam321	399398
fam322	399586
fam323	400221
fam324	400831
fam326	402602
fam330	408118
fam331	409042
fam332	410298
fam333	411398
fam334	412114
fam335	413042
fam336	413875
fam337	414436
fam338	415001
fam339	417063
fam340	417545
fam341	418638
fam343	420915
fam344	422647
fam345	423092
fam346	424382
fam347	426526
fam348	427608
fam349	428969
fam350	429883
fam351	430565
fam352	430973
fam353	433670
fam354	434931
fam355	436766
fam356	438042
fam357	438425
fam358	438861
fam359	439462
fam360	440391
fam361	441277
fam362	443464
fam363	444275
fam364	445437
fam365	446231
fam366	447035
fam367	448793
fam368	449140
fam369	451137
fam370	454036
fam371	455521
fam372	456108
fam373	456636
fam374	456932
fam375	457467
fam376	458418
fam377	458803
fam378	459585
fam379	460129
fam381	462010
fam382	462651
fam383	463066
fam384	463959
fam385	464807
fam386	465650
fam387	466342
fam389	471044
fam390	471923
fam391	472707
fam393	474673
fam394	475527
fam395	476452
fam396	477735
fam397	478603
fam398	479242
fam399	480462
fam400	481304
fam401	482168
fam402	484192
fam403	486185
fam404	490600
fam405	492191
fam406	493290
fam407	493515
fam408	493838
fam409	495384
fam410	496123
fam411	498629
fam412	499743
fam413	501627
fam414	503000
fam415	504304
fam417	516096
fam418	526124
fam419	536573
fam420	534815
fam421	533335
fam422	531782
fam423	530693
fam424	529645
fam425	529116
fam426	527498
fam428	525802
fam429	525089
fam430	523720
fam431	523057
fam432	522362
fam433	521283
fam434	520170
fam435	518584
fam436	518145
fam437	516506
fam438	515713
fam439	514844
fam440	514217
fam441	511714
fam442	509285
fam443	508932
fam444	508103
fam446	505016
fam447	503485
fam448	502949
fam449	501861
fam450	500341
fam451	499283
fam452	498414
fam453	497576
fam454	496831
fam455	495773
fam456	494330
fam457	492649
fam458	491796
fam459	490168
fam460	488657
fam461	486201
fam462	484739
fam463	484175
fam464	483712
fam465	482993
fam466	481248
fam467	481068
fam468	479902
fam469	478488
fam470	477620
fam471	475120
fam472	473905
fam473	472888
fam474	472313
fam475	471420
fam476	470453
fam477	469579
fam478	469333
fam479	468836
fam480	468321
fam481	467498
fam482	466791
fam483	465191
fam484	463521
fam485	463064
fam486	462481
fam487	459635
fam488	459196
fam489	458903
fam490	457791
fam491	456868
fam492	455868
fam493	455127
fam494	452335
fam495	451743
fam496	450651
fam497	449464
fam498	448195
fam499	447216
fam500	445925
fam501	443460
fam502	442955
fam504	439075
fam505	437953
fam506	437055
fam507	436284
fam508	435721
fam509	434286
fam510	433082
fam511	431953
fam512	431201
fam513	430412
fam514	429689
fam515	428922
fam516	428300
fam517	426370
fam518	425430
fam519	424116
fam520	423696
fam521	422684
fam522	421318
fam523	421000
fam524	419052
fam525	418778
fam526	417877
fam527	417061
fam528	416635
fam529	415031
fam530	414393
fam531	413762
fam532	412249
fam533	411291
fam534	410663
fam535	409925
fam536	409545
fam537	407446
fam538	405822
fam539	405098
fam540	402278
fam541	401221
fam542	399353
fam543	398143
fam544	397415
fam545	396937
fam546	396498
fam547	395533
fam548	394842
fam549	392931
fam550	392316
fam551	391508
fam552	390160
fam553	389454
fam554	388471
fam555	385551
fam556	382717
fam558	381725
fam559	379713
fam560	379096
fam561	377795
fam562	376017
fam563	375223
fam564	374427
fam565	373604
fam566	373228
fam567	372200
fam568	367899
fam569	364116
fam570	363379
fam571	362829
fam572	362109
fam573	361661
fam574	361006
fam575	360754
fam577	358832
fam578	357505
fam579	357056
fam580	355050
fam581	350557
fam582	349558
fam583	348550
fam584	346987
fam585	346785
fam586	346506
fam587	344611
fam588	343050
fam589	337648
fam590	336152
fam591	335869
fam592	334157
fam593	333842
fam594	333246
fam595	332935
fam596	331430
fam597	329329
fam598	328116
fam599	327914
fam600	327082
fam601	324316
fam602	323833
fam603	322648
fam604	321638
fam605	319998
fam606	319375
fam607	317693
fam608	315584
fam609	315212
fam610	314509
fam611	313425
fam612	312349
fam613	309953
fam614	309205
fam615	308666
fam616	308000
fam617	307149
fam618	306143
fam619	304833
fam620	303836
fam621	303086
fam622	301162
fam623	299672
fam624	299176
fam625	298110
fam626	296992
fam627	295575
fam628	294747
fam629	293280
fam630	292623
fam631	291157
fam632	289931
fam633	288912
fam634	288589
fam635	286912
fam636	285465
fam637	284658
fam638	283856
fam639	282948
fam640	282622
fam641	281700
fam642	280109
fam643	279720
fam644	278854
fam645	276485
fam646	276168
fam647	274709
fam649	272409
fam650	271263
fam651	269327
fam652	268075
fam653	267506
fam654	265513
fam655	263126
fam656	262109
fam657	260702
fam658	259507
fam659	258047
fam660	256941
fam661	255948
fam662	255133
fam663	254540
fam664	253694
fam665	253300
fam666	252791
fam667	251331
fam668	249840
fam669	247959
fam670	244921
fam671	239774
fam672	235213
fam673	233839
fam674	233132
fam675	232260
fam676	231337
fam677	230993
fam678	230638
fam679	229383
fam681	228861
fam682	228366
fam683	227102
fam684	226580
fam685	224538
fam686	224309
fam687	223231
fam688	222458
fam689	221812
fam690	220788
fam691	219900
fam692	219353
fam694	216840
fam695	216230
fam696	215181
fam697	214848
fam698	212756
fam699	212241
fam700	211820
fam701	211224
fam702	209122
fam703	208551
fam704	208365
fam705	206704
fam706	206290
fam707	205738
fam708	204221
fam709	203414
fam710	201204
fam711	196884
fam712	196156
fam713	194952
fam714	194029
fam715	193382
fam716	192735
fam718	189667
fam719	186435
fam720	185677
fam721	184997
fam722	183343
fam723	182296
fam724	181650
fam725	180835
fam726	180209
fam727	179478
fam728	178858
fam729	177822
fam730	176616
fam731	175850
fam732	175176
fam733	174551
fam734	173302
fam735	173002
fam736	172164
fam737	169704
fam738	168742
fam739	168211
fam740	166478
fam741	164998
fam742	162926
fam744	160787
fam745	160049
fam746	159072
fam747	157974
fam748	157162
fam749	156547
fam750	155813
fam751	154399
fam752	153953
fam753	152548
fam754	151943
fam755	149349
fam756	148337
fam757	146564
fam758	145848
fam759	143936
fam760	143691
fam761	141840
fam762	141149
fam763	140666
fam764	139918
fam765	139386
fam766	138728
fam768	136559
fam769	136090
fam770	134948
fam772	134139
fam773	132710
fam774	132253
fam775	131763
fam776	131377
fam777	130804
fam778	130375
fam779	129815
fam780	129478
fam781	129097
fam782	128829
fam783	128618
fam784	128200
fam785	127493
fam786	127147
fam787	126862
fam788	126002
fam789	125643
fam790	124959
fam791	124285
fam792	122973
fam793	121909
fam794	121077
fam795	120604
fam796	119747
fam797	118018
fam798	117472
fam799	116586
fam800	116109
fam801	115414
fam802	114383
fam803	113882
fam804	113135
fam805	111253
fam806	109986
fam807	108210
fam808	104483
fam809	103457
fam810	102467
fam811	101361
fam812	100752
fam813	100325
fam814	99898
fam815	98474
fam816	97931
fam817	96828
fam818	95439
fam819	91671
fam820	91013
fam821	89407
fam822	88484
fam823	87384
fam824	86547
fam825	85607
fam826	84659
fam827	84363
fam828	83487
fam829	82945
fam830	81862
fam831	81332
fam832	80919
fam833	80536
fam834	79345
fam835	77828
fam836	75562
fam837	74329
fam838	73134
fam839	71394
fam840	70409
fam841	70022
fam842	68510
fam843	67169
fam844	66142
fam845	63985
fam846	62749
fam847	61956
fam848	61436
fam849	60221
fam850	58194
fam852	56762
fam853	54689
fam854	52764
fam856	49003
fam857	47116
fam858	46253
fam859	45317
fam860	43154
fam861	42303
fam862	41899
fam863	41174
fam864	39880
fam865	39317
fam866	38719
fam867	38256
fam868	37672
fam870	34554
fam871	33730
fam872	33517
fam873	32843
fam874	30858
fam875	29574
fam876	28758
fam877	28030
fam878	27579
fam879	26230
fam880	25865
fam881	24124
fam882	22715
fam883	22580
fam884	21902
fam885	20877
fam887	15589
fam888	13039
fam889	10953
fam890	9552
fam891	7702
fam892	6659
fam893	5930
fam894	4562
fam896	2954
fam897	2220
fam898	1799
fam899	32
