fam	loc
fam3	560279
fam4	561509
fam5	562846
fam6	564537
fam11	568651
fam12	569531
fam14	571533
fam15	572080
fam16	572955
fam18	574326
fam19	575855
fam20	576382
fam23	581724
fam24	582403
fam30	588941
fam31	589547
fam32	590938
fam33	591545
fam34	592341
fam35	594840
fam37	598653
fam38	599916
fam39	600587
fam40	600898
fam41	601260
fam42	601559
fam43	602185
fam44	602972
fam45	603817
fam46	604457
fam47	605294
fam51	608075
fam52	609421
fam53	610782
fam54	612103
fam55	612723
fam57	614324
fam58	615772
fam60	617667
fam61	618983
fam62	619588
fam63	620528
fam64	621181
fam72	627685
fam80	636061
fam81	637573
fam82	637868
fam84	639685
fam85	639934
fam86	640140
fam87	641021
fam88	642894
fam89	643537
fam90	644504
fam95	649595
fam96	651057
fam97	651923
fam109	665260
fam111	667232
fam116	672670
fam117	673747
fam118	674438
fam119	674723
fam120	676011
fam121	677230
fam122	679659
fam123	680603
fam124	681324
fam125	684566
fam126	685621
fam127	686066
fam129	687072
fam130	687984
fam132	689267
fam140	698697
fam141	700237
fam142	700645
fam143	701886
fam144	702801
fam145	703316
fam146	704003
fam147	705500
fam148	709190
fam149	710073
fam150	710753
fam154	715614
fam155	716566
fam156	717605
fam157	720266
fam158	721153
fam159	722327
fam160	723370
fam161	724111
fam162	724672
fam163	725426
fam165	727204
fam168	731233
fam169	732309
fam170	733334
fam171	734388
fam172	736604
fam173	737631
fam174	740360
fam175	740974
fam176	742134
fam177	742598
fam178	743371
fam179	744544
fam180	745327
fam181	748857
fam182	749894
fam183	751329
fam187	758057
fam190	762553
fam191	763912
fam192	765409
fam193	768370
fam194	769809
fam196	771925
fam197	773752
fam201	777074
fam203	779462
fam207	784385
fam209	787648
fam210	790131
fam211	791961
fam212	793610
fam213	794133
fam214	798147
fam215	798477
fam219	803247
fam220	803910
fam221	804675
fam222	805543
fam223	806157
fam224	807462
fam226	809788
fam227	810772
fam228	811655
fam229	812879
fam230	814411
fam231	815751
fam232	817184
fam233	818087
fam234	819074
fam235	820914
fam236	821513
fam243	829251
fam245	829902
fam254	837356
fam255	838785
fam256	839405
fam257	840710
fam258	842075
fam259	842891
fam260	844367
fam261	845218
fam262	846209
fam263	848114
fam264	848832
fam265	850215
