fam	loc
fam1	23374
fam2	24561
fam3	25667
fam4	28075
fam5	29138
fam6	30000
fam7	30694
fam8	31227
fam9	32549
fam11	33829
fam12	35049
fam13	35737
fam14	38384
fam15	39038
fam16	41158
fam17	42920
fam18	43114
fam19	44830
fam20	46874
fam21	50073
fam22	51222
fam23	51815
fam24	53205
fam25	54055
fam27	55844
fam28	56575
fam29	58737
fam30	59144
fam31	59850
fam32	60078
fam33	61206
fam34	62142
fam35	63076
fam36	63937
fam37	64438
fam39	65638
fam40	66659
fam41	67651
fam42	68281
fam43	69870
fam44	70487
fam45	71821
fam46	73576
fam47	74366
fam48	75666
fam51	77736
fam52	78667
fam53	79679
fam55	82722
fam56	83221
fam57	90011
fam58	90530
fam59	91701
fam60	93895
fam61	96174
fam62	96672
fam63	97940
fam64	99186
fam65	99946
fam66	101061
fam67	102940
fam70	106573
fam71	107156
fam73	109054
fam74	109730
fam75	110918
fam77	112732
fam78	113334
fam79	113843
fam82	117196
fam83	118702
fam84	120353
fam85	121471
fam86	122439
fam90	127502
fam91	129049
fam92	129874
fam93	130328
fam94	132907
fam100	140261
fam101	140874
fam102	141907
fam103	143656
fam104	144533
fam105	145243
fam107	146813
fam108	147918
fam109	149063
fam110	150118
fam111	151192
fam112	152401
fam113	155650
fam114	156913
fam115	158487
fam116	159514
fam117	161299
fam118	162500
fam120	164436
fam121	166366
fam122	167202
fam123	167710
fam124	169237
fam125	170319
fam126	170888
fam127	171361
fam128	172281
fam129	172815
fam130	174627
fam131	176266
fam132	177417
fam133	178622
fam134	179855
fam135	180757
fam136	181599
fam137	182349
fam138	183368
fam139	183948
fam140	185926
fam141	186296
fam142	187829
fam144	188961
fam145	189717
fam146	191717
fam147	192490
fam148	192806
fam149	195161
fam151	197948
fam153	200840
fam154	201889
fam155	202413
fam156	203187
fam157	204042
fam158	206214
fam159	208430
fam160	209985
fam161	211458
fam162	212213
fam163	214006
fam164	214657
fam165	215749
fam166	216489
fam167	217975
fam168	219514
fam169	220192
fam170	220713
fam171	221720
fam172	222368
fam173	223177
fam174	223980
fam175	224285
fam178	227797
fam179	228472
fam180	229444
fam181	230751
fam182	231703
fam183	232371
fam184	233026
fam185	233649
fam186	233948
fam187	234785
fam188	235086
fam189	235441
fam190	236158
fam191	236585
fam192	236776
fam193	237024
fam194	237540
fam195	237869
fam196	238422
fam197	238738
fam198	239152
fam199	239699
fam200	240062
fam201	240577
fam202	240763
fam203	241203
fam204	242540
fam205	242681
fam206	243177
fam207	243581
fam208	244241
fam209	245256
fam210	245683
fam212	254618
fam213	256074
fam214	257606
fam215	258332
fam216	258882
fam217	259481
fam218	260495
fam220	261803
fam221	262235
fam222	265862
fam223	269461
fam224	271521
fam229	277352
fam230	278157
fam231	279483
fam232	280326
fam233	281225
fam234	281994
fam235	283008
fam236	283701
fam237	285453
fam238	285977
fam240	287719
fam241	289082
fam245	294195
fam246	294941
fam247	295727
fam248	296686
fam249	298069
fam250	299064
fam251	299853
fam253	301759
fam254	303518
fam255	304177
fam256	305042
fam257	305726
fam258	307080
fam259	310000
fam260	310521
fam261	312204
fam262	313489
fam263	314585
fam264	315286
fam265	316283
fam268	320856
fam269	322581
fam270	323895
fam271	324849
fam272	326049
fam273	327281
fam274	327667
fam275	328901
fam276	329961
fam277	330692
fam278	331636
fam279	334461
fam280	335181
fam281	335492
fam282	335742
fam283	337025
fam284	338041
fam285	338813
fam286	339783
fam288	341001
fam289	342573
fam290	343102
fam291	343897
fam292	344839
fam293	346276
fam294	347620
fam295	347896
fam296	348168
fam297	348797
fam298	349297
fam299	350084
fam300	350884
fam301	352087
fam302	352641
fam303	353198
fam304	353712
fam305	354441
fam306	355946
fam307	356254
fam308	356703
fam309	357615
fam310	357908
fam311	359830
fam312	360678
fam313	361793
fam315	363609
fam316	364397
fam317	364733
fam318	365098
fam319	365475
fam320	366914
fam321	368385
fam322	368847
fam323	370082
fam324	370777
fam325	371185
fam326	372071
fam327	373291
fam328	374022
fam329	374739
fam330	375161
fam332	376379
fam333	376781
fam334	378609
fam335	379522
fam336	380967
fam337	381906
fam338	382224
fam339	383975
fam340	385440
fam341	386792
fam342	387868
fam343	389156
fam344	390334
fam345	391416
fam346	392982
fam347	393832
fam348	395072
fam349	396263
fam350	397286
fam351	398332
fam352	401112
fam353	401591
fam354	401863
fam355	402661
fam356	403247
fam357	404133
fam358	405436
fam359	407383
fam361	409003
fam362	409477
fam363	410183
fam364	411226
fam365	413966
fam366	415975
fam367	417551
fam368	418638
fam369	420633
fam370	423129
fam371	425956
fam372	427823
fam373	429380
fam374	430517
fam376	434706
fam377	435405
fam378	436832
fam379	437292
fam380	437928
fam381	438299
fam382	439119
fam383	440811
fam385	442569
fam386	444030
fam387	445477
fam389	447249
fam390	448279
fam391	449696
fam392	452561
fam394	454050
fam396	457035
fam397	457809
fam398	458615
fam399	459629
fam400	461562
fam401	462112
fam402	462707
fam403	463223
fam404	465114
fam405	465813
fam406	467632
fam407	468669
fam409	469779
fam410	471353
fam411	472435
fam413	477100
fam414	478277
fam415	479119
fam416	479750
fam417	480830
fam418	482412
fam419	482944
fam420	483808
fam421	484872
fam423	486274
fam424	486998
fam425	488072
fam426	488515
fam427	488928
fam428	489775
fam429	490484
fam432	495451
fam433	497246
fam434	498318
fam435	500520
fam436	501998
fam437	502871
fam438	504091
fam439	505225
fam441	507212
fam442	508425
fam443	514966
fam444	518258
fam445	519177
fam446	521013
fam449	524742
fam450	525312
fam451	525875
fam452	527931
fam453	528448
fam460	537252
fam464	540686
fam465	541037
fam466	541485
fam467	544253
fam468	545451
fam469	546105
fam470	546737
fam472	550716
fam481	561437
fam482	562359
fam483	563219
fam484	564009
fam485	565726
fam486	567081
fam487	568195
fam489	569992
fam490	570668
fam491	570985
fam492	572454
fam493	574202
fam494	574767
fam495	575342
fam496	576448
fam497	576974
fam498	577284
fam499	577921
fam500	579705
fam501	580417
fam502	581808
fam503	583645
fam504	585196
fam505	586828
fam506	588267
fam507	589213
fam508	589664
fam509	590505
fam511	593148
fam512	595496
fam516	600264
fam517	601662
fam518	602441
fam519	602996
fam520	603304
fam521	604358
fam523	606188
fam526	609591
fam527	610021
fam528	610935
fam529	611808
fam530	612017
fam531	612284
fam533	613498
fam534	614370
fam535	615057
fam536	615918
fam537	616900
fam538	617689
fam539	618487
fam540	619513
fam541	620255
fam542	621191
fam544	624084
fam545	625100
fam546	625844
fam547	626395
fam549	628694
fam550	630051
fam551	631341
fam552	631622
fam553	632842
fam554	633314
fam555	634606
fam556	635909
fam558	639590
fam559	640336
fam560	640911
fam561	641423
fam562	642719
fam563	643549
fam564	645045
fam565	646772
fam566	647076
fam567	647542
fam568	647990
fam569	649114
fam570	650743
fam571	651180
fam572	652903
fam573	653795
fam574	654556
fam575	655271
fam576	656038
fam577	656578
fam579	658018
fam580	659837
fam581	661464
fam582	662114
fam583	663760
fam584	665024
