fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.20566115750644068	0.2156626506024096	0.03509870791981944	0.010647619047619048	0.0169	0.008309697091930437	0.048799999999999996	0.0783	0.03827108817993278	322445	0.022431327820549376
fam1571	0.48351490568926714	0.6333333333333333	0.1805617120727601	0.021704761904761904	0.0288	0.017443499981654408	0.04607619047619048	0.063	0.033573315718657744	533049	0.04064454064454065
fam158	0.19567628673557072	0.1554800339847069	0.10139477021299913	0.015071428571428572	0.0183	0.010132979764687416	0.08808571428571427	0.1177	0.06574013259808353	200015	0.03230890464933018
fam1037	0.21144990477046888	0.22892938496583143	0.051031489641738606	0.011947619047619049	0.0184	0.008710673203857386	0.055776190476190486	0.071	0.037921019485515704	1171351	0.03435243829332499
fam1499	0.3078606789414365	0.2814498933901919	0.08991953707029378	0.008719047619047618	0.0132	0.006488790264214934	0.029690476190476198	0.0446	0.022138049657329472	629139	0.014867623312920818
fam680	0.08300444103467824	0.09207161125319692	0.06682019621256303	0.002057142857142857	0.0036	0.0017815379734994166	0.021300000000000006	0.0193	0.014402711384947465	742368	0.007249093863267093
fam875	0.18515807320903568	0.1829059829059829	0.07609652794296867	0.006342857142857142	0.008	0.0038902284702855695	0.03548571428571429	0.0449	0.024225592247206076	954498	0.014638447971781305
fam1483	0.398987034215098	0.44	0.16316046279568633	0.012514285714285716	0.0187	0.01004913100788349	0.03051904761904762	0.0424	0.024503869841072216	647940	0.01759175007582651
fam425	0.1130579464478762	0.10617760617760617	0.023286729948645137	0.0036571428571428575	0.0041	0.0022438426709492777	0.0321095238095238	0.0481	0.023568984962322726	490180	0.011594202898550728
fam1195	0.4433415427475591	0.4136807817589576	0.1495579561380989	0.018	0.0254	0.013124023773218335	0.04261904761904762	0.0614	0.03129373311745187	998434	0.022167487684729065
fam1928	0.03484141456755837	0.02533172496984318	0.03001926301708098	0.0014047619047619045	0.0014	0.0010002267316659903	0.04732380952380953	0.0762	0.03750722983971801	169843	0.015234446268929027
fam98	0.40421550491579983	0.4318936877076412	0.2666395709567287	0.008119047619047621	0.0111	0.005538834246234151	0.024314285714285715	0.0301	0.01862980933660802	126543	0.012771392081736908
fam657	0.3989763172208717	0.36802030456852797	0.03584054448360886	0.009247619047619051	0.0144	0.006646633164716091	0.023457142857142853	0.0325	0.017199489788351043	720252	0.013549337260677466
fam1496	0.20793997380775225	0.14054600606673406	0.1873863115937873	0.007942857142857142	0.0116	0.006136508347087744	0.05638571428571428	0.0929	0.046854915742659285	633524	0.021266759130836803
fam1988	0.1715116753962683	0.17886310223266744	0.05498574143979968	0.0027999999999999995	0.0033	0.0018431339769921385	0.014461904761904763	0.0184	0.011049950492906817	105643	0.006349206349206349
fam1786	0.2120533288265736	0.1608222490931076	0.10019792537558052	0.008961904761904763	0.0133	0.0066444015955056685	0.051490476190476184	0.0827	0.04141986991267315	318896	0.02087861423961009
fam443	1.0832896923720006	1.209090909090909	0.3445871687985389	0.02081904761904762	0.0266	0.015526800763522195	0.018404761904761906	0.022	0.012682589347698612	508421	0.03841094448829256
fam2090	0.09514784337077573	0.11089866156787763	0.07984525147993543	0.003309523809523809	0.0058	0.0028662078417815845	0.03289999999999999	0.0342	0.021360265737601497	3046	0.01058201058201058
fam1093	0.09460941324875283	0.07988165680473373	0.017725540466043833	0.003857142857142857	0.0054	0.0030696007850519974	0.04113333333333333	0.0676	0.03141328704823172	1104175	0.014249639249639248
fam814	0.2845995199299452	0.2747524752475248	0.06271696675110931	0.007185714285714285	0.0111	0.005179564765157647	0.02490952380952381	0.0326	0.017040956399549227	885476	0.012438080775210615
fam321	0.24828185227052355	0.2398921832884097	0.05036225439193394	0.006380952380952381	0.0089	0.004658798030927132	0.02568571428571429	0.0371	0.01788410535894362	373018	0.01240238860817639
fam62	0.09102851232365572	0.08091603053435115	0.07679891736782953	0.0037904761904761905	0.0053	0.0025539707202529354	0.0424	0.0655	0.03169330708975815	86135	0.015906432748538007
fam494	0.09850511451970044	0.040747028862478774	0.0832485339278666	0.0027142857142857142	0.0024	0.0025559055266626135	0.03304761904761905	0.0424	0.025056291274374667	557761	0.011808910359634998
fam2091	0.2737929850799416	0.2608695652173913	0.06086569667573781	0.005366666666666666	0.0072	0.0037283129509628698	0.02006666666666667	0.025	0.01397730586933975	4462	0.00955129526558098
fam1358	0.33158093986667975	0.26908396946564883	0.14732595990930308	0.011428571428571429	0.0141	0.006814490363304114	0.035866666666666665	0.0524	0.024966631699384248	791775	0.018106995884773665
fam651	0.13288909223868572	0.16049382716049382	0.054720132458953456	0.003714285714285715	0.0065	0.0032166657854850573	0.025695238095238094	0.0405	0.019533133662000993	715704	0.010696287154170522
fam870	0.5609818687890773	0.7142857142857143	0.24417486121944518	0.00797142857142857	0.0119	0.005691107755348969	0.017076190476190474	0.0168	0.014817329132822334	948941	0.01042920176494184
fam150	0.28909071645388085	0.3273809523809524	0.0813221121382521	0.00689047619047619	0.011	0.005436727373627208	0.02241904761904762	0.0336	0.015638615790883645	189086	0.010976594027441488
fam179	0.15218942126618173	0.1891304347826087	0.05380825967791042	0.004142857142857143	0.0058	0.0032969786209817746	0.025633333333333334	0.0306	0.018140649784480562	224326	0.009920634920634922
fam885	0.12344957929245504	0.08760951188986234	0.09646152676004377	0.0054857142857142865	0.0069	0.0046253221987421446	0.05224761904761904	0.0655	0.03785318278179548	964592	0.018364710225175343
fam2021	0.7155943076877537	0.71671388101983	0.1354582167882548	0.014895238095238097	0.0201	0.01097080438039228	0.021609523809523808	0.0353	0.016357578839410445	69207	0.01954804910469935
fam1934	0.11886312274256217	0.15883668903803133	0.06195919798414355	0.004247619047619048	0.0071	0.0033383227964009893	0.02893333333333333	0.0446	0.02037515605159833	162797	0.012041598248494798
fam1001	0.11760760257833798	0.13366336633663364	0.03743552297776254	0.12381904761904762	0.2134	0.10624242099152574	0.9210000000000003	1.5466	0.7914577845734444	1214131	0.17724867724867724
fam43	0.05150294140604514	0.046296296296296294	0.03287787730373166	0.0021238095238095243	0.002	0.001482245645699461	0.029252380952380957	0.0431	0.021990097750873468	66276	0.010668748373666406
fam1364	0.18086400671670977	0.21428571428571427	0.08339758491911503	0.0044142857142857135	0.0033	0.002961384122056331	0.024290476190476185	0.0308	0.01972245287463733	788029	0.010290093048713738
fam1587	0.14038188772421387	0.16962220508866613	0.07710492382000204	0.033133333333333334	0.0485	0.02556804801632458	0.18538095238095237	0.24	0.13828709824835472	516412	0.06654687032045523
fam174	0.25920736940434014	0.2863849765258216	0.037638252510454294	0.007314285714285715	0.0103	0.004853598146322622	0.028204761904761906	0.0351	0.018155321302857113	218877	0.013075593273613077
fam1143	0.3564508606810257	0.2575757575757576	0.34344854442753164	0.008785714285714284	0.0119	0.006063103536127015	0.030014285714285712	0.0462	0.02477480067123285	1052177	0.014466546112115735
fam839	0.2518710878807325	0.19464720194647203	0.21449842171492853	0.005357142857142858	0.004	0.004367474090589753	0.02935238095238095	0.0409	0.022150322346308	919540	0.011938678605345273
fam1534	0.20866218060255798	0.1234991423670669	0.21515284280585992	0.016771428571428566	0.0274	0.013686077140035167	0.13173809523809524	0.226	0.11253046349953198	581165	0.04430935494765282
fam1584	0.35130324742798813	0.308300395256917	0.27332380002638196	0.005990476190476192	0.0059	0.004840199205060799	0.020514285714285714	0.0253	0.014813420096857658	519597	0.009312169312169313
fam2045	0.08633109824227639	0.0970414201183432	0.024365472894124312	0.00598095238095238	0.0082	0.004178928895305368	0.07054761904761905	0.0845	0.04755701960151292	45838	0.023304890356913483
fam317	0.4077823434622144	0.12992455993294216	0.703667844174508	0.009600000000000003	0.0129	0.006867036513387013	0.07016190476190476	0.1193	0.059669466357757064	369075	0.03361344537815126
fam989	0.15554064069155357	0.13581730769230768	0.08526818563106939	0.00758095238095238	0.0113	0.006081793207334498	0.05040952380952382	0.0832	0.0421348730666733	1227225	0.018971732119142472
fam1082	0.1622723142360307	0.1815856777493606	0.0937554413229848	0.004552380952380951	0.0071	0.003679495183752282	0.02222857142857143	0.0311	0.015968813143038493	1117486	0.009934909215484755
fam1699	0.21235432267009807	0.22591362126245848	0.0515574595169123	0.004023809523809523	0.0051	0.0029683897770476043	0.018642857142857145	0.0262	0.01252382762989819	401181	0.008487654320987656
fam1197	0.13229418395893344	0.1442953020134228	0.029230933381041612	0.00279047619047619	0.0043	0.0021068832231758293	0.021257142857142856	0.0298	0.015159173599431043	993907	0.008253030409603526
fam531	0.30400063833805707	0.3184713375796179	0.22999050113878305	0.0028571428571428567	0.005	0.0024743582965269678	0.011614285714285712	0.0078	0.009874560181370621	603842	0.007411094519108458
fam507	0.10435066055890654	0.13241379310344828	0.061358517252593885	0.014347619047619048	0.0192	0.010704766141331139	0.10409523809523812	0.145	0.0698051947595557	573613	0.0369185816947011
fam157	0.07898554333310487	0.07565337001375515	0.015888755368976663	0.003880952380952381	0.0047	0.002219313288817715	0.048709523809523814	0.0708	0.03289592397332771	199054	0.017210212218012527
fam1604	0.4656962570076588	0.4010946051602814	0.1125656523647886	0.031057142857142853	0.0428	0.023236497798333828	0.07144285714285716	0.1075	0.05530619160575037	503033	0.04074357015533486
fam1334	0.3670296443409422	0.3513957307060755	0.1788954246366359	0.012809523809523807	0.0214	0.010057402143122285	0.03664761904761905	0.0538	0.028660552266762545	821924	0.01979227905153831
fam504	0.3767388731082792	0.3313782991202346	0.10801072634105688	0.007742857142857144	0.0113	0.006178270017420999	0.02040952380952381	0.0293	0.01501411731740703	570947	0.011596723925491048
fam1564	0.2742912349771076	0.2694444444444445	0.0690592699322375	0.006166666666666667	0.0086	0.004372896319628699	0.021438095238095235	0.033	0.016051152641906652	541661	0.010558230782949882
fam363	0.2505473508541596	0.2357473035439137	0.05347712874835213	0.008438095238095236	0.0122	0.006869010893687415	0.036257142857142856	0.0566	0.030102168430491637	418771	0.015769270671231454
fam1369	0.1568336954945487	0.17423312883435582	0.026320506805251415	0.008876190476190477	0.013	0.006312791606609609	0.055185714285714275	0.0815	0.04034708092012989	782980	0.03603495270161937
fam231	0.0	0.0	0.0	0.0	0.0	0.0	0.014523809523809524	0.0235	0.012179096250852455	281950	0.003871467286101433
fam1318	0.44518174849553216	0.44393656465783604	0.2829523673752099	0.010985714285714286	0.0171	0.007531728803900881	0.025133333333333334	0.0362	0.018496031320344768	839195	0.015194681861348522
fam530	0.11288088484684768	0.1287425149700599	0.04368947217990496	0.0027142857142857134	0.0043	0.002214516117045225	0.02267619047619047	0.0334	0.015428140793519847	602884	0.008200082000820008
fam1145	0.17493477906865604	0.18214285714285716	0.016185121712294626	0.0067904761904761905	0.0089	0.004951662035731011	0.03680952380952381	0.056	0.028365453582061752	1049355	0.015197568389057751
fam229	0.11895424771424096	0.136986301369863	0.0922189813086126	0.0025714285714285717	0.004	0.0020832993194502243	0.017685714285714284	0.0265	0.013909342037579181	279277	0.006694271911663216
fam488	0.687331054337767	0.6991525423728814	0.15595066563556853	0.01952857142857143	0.0258	0.013953772074318856	0.028438095238095235	0.037	0.019736610318088377	552363	0.02191641182466871
fam116	0.08549293335617694	0.08848314606741574	0.025192437360453096	0.0036	0.0047	0.0026644038018002487	0.04386190476190476	0.0577	0.03158586899519159	144249	0.016892383864860926
fam2003	0.2507058156913348	0.3008849557522124	0.0948217890998181	0.003904761904761905	0.0045	0.002828002187389905	0.017238095238095236	0.0224	0.01248898471570147	86474	0.007668123610152594
fam2014	0.2830864847254593	0.2826855123674912	0.04665430125557447	0.0048761904761904775	0.0064	0.0038079996951161294	0.01615238095238095	0.0282	0.013988417625464258	75840	0.008272581562483844
